"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"392","Saudi Arabia","201404",1,147860,147860,147860,0,0,0,0,-1,1,0,0,6.59923311166609e-07,9
"393","United Rep. of Tanzania","201404",1,1833,1833,1833,0,0,0,0,-1,1,0,0,8.18097816370429e-09,9
"394","New Zealand","201404",2,577,288.5,406,0,0,0,0,-1,2,0,0,6.44424887456128e-10,15
"395","Afghanistan","201404",1,16000,16000,16000,0,0,0,0,-1,1,0,0,8.2321400130216e-08,18
"396","Kyrgyzstan","201404",1,75,75,75,0,0,0,0,-1,1,0,0,3.85881575341736e-10,18
"397","Russian Federation","201404",1,1738,1738,1738,19,31778531,1672554.26315789,7306766,0.999890623959162,20,5,45,0.0273658200779096,6
"398","Turkmenistan","201404",1,49846,49846,49846,0,0,0,0,-1,1,0,0,2.56462031906268e-07,18
"399","Venezuela","201404",1,17697,17697,17697,0,0,0,0,-1,1,0,0,1.56344754766278e-12,8
"400","Dem.Rep. of the Congo","201404",1,52,52,52,0,0,0,0,-1,1,0,0,7.09575415989614e-08,1
"401","Ecuador","201404",1,394,394,394,0,0,0,0,-1,1,0,0,5.37639834336145e-07,1
"402","Rep. of Korea","201404",1,4652,4652,4652,0,0,0,0,-1,1,0,0,7.38390270849189e-09,15
"403","Iceland","201404",0,0,0,0,2,2414,1207,2095,1,2,0,1,6.05825155542146e-05,2
"404","Georgia","201404",0,0,0,0,2,1372112,686056,1323904,1,2,0,0,0.000284882922967041,6
"405","El Salvador","201404",0,0,0,0,2,11226,5613,10055,1,2,0,0,2.56232007295539e-12,7
"406","Paraguay","201404",0,0,0,0,1,5785,5785,5785,1,1,0,0,1.33311693593898e-17,10
"407","Montenegro","201404",0,0,0,0,4,141839,35459.75,68248,1,4,0,2,8.88081998411841e-05,11
"408","Barbados","201404",0,0,0,0,1,699,699,699,1,1,0,0,1.59974032312678e-17,17
"409","Malta","201404",0,0,0,0,2,9144,4572,7998,1,2,0,1,3.869336727412e-05,2
"410","Bosnia Herzegovina","201404",0,0,0,0,7,335841,47977.2857142857,187735,1,7,0,8,0.00327449023483096,11
"411","Rep. of Moldova","201404",0,0,0,0,4,398245,99561.25,279436,1,4,0,2,0.000121823577706233,6
