"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"925","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",184837,730853,3.95404058711189,2015-12-01
"926","Imports",579,"Norway",76,"Brazil","160250",13387,79843,5.96421901845074,2015-01-01
"927","Imports",858,"Uruguay",76,"Brazil","160250",6468,21623,3.34307359307359,2015-01-01
"928","Exports",97,"EU-27",76,"Brazil","160250",1300,8634,6.64153846153846,2015-01-01
"929","Exports",251,"France",76,"Brazil","160250",1344,8640,6.42857142857143,2015-01-01
"930","Imports",276,"Germany",76,"Brazil","160250",83357,529993,6.35811029667574,2015-01-01
"931","Imports",724,"Spain",76,"Brazil","160250",12200,61080,5.00655737704918,2015-01-01
"932","Imports",480,"Mauritius",76,"Brazil","160250",19584,104288,5.32516339869281,2015-01-01
"933","Imports",752,"Sweden",76,"Brazil","160250",113000,594041,5.257,2015-01-01
"934","Imports",442,"Luxembourg",76,"Brazil","160250",3,26,8.66666666666667,2015-01-01
"935","Imports",702,"Singapore",76,"Brazil","160250",17675,86941,4.9188684582744,2015-01-01
"936","Imports",826,"United Kingdom",76,"Brazil","160250",1416914,7167545,5.05856036428464,2015-01-01
