period,trade_value_usd,origin,destin,period_date
201408,18515,Greece,Cyprus,2014-08-01
201504,7316,Viet Nam,"China, Hong Kong SAR",2015-04-01
201504,292,Thailand,"China, Hong Kong SAR",2015-04-01
201504,205,Netherlands,"China, Hong Kong SAR",2015-04-01
201504,450,Malaysia,"China, Hong Kong SAR",2015-04-01
201504,4038,Australia,"China, Hong Kong SAR",2015-04-01
201404,11865,Belgium,Spain,2014-04-01
201404,207,Croatia,Spain,2014-04-01
201404,13551,Czech Rep.,Spain,2014-04-01
201404,2652,France,Spain,2014-04-01
201404,33676,Germany,Spain,2014-04-01
201404,20291,Greece,Spain,2014-04-01
201404,44740,Italy,Spain,2014-04-01
201404,414,Lithuania,Spain,2014-04-01
201404,10318,Morocco,Spain,2014-04-01
201404,129746,Netherlands,Spain,2014-04-01
201404,691,Portugal,Spain,2014-04-01
201404,4116,Romania,Spain,2014-04-01
201408,61552,Turkey,France,2014-08-01
201408,85679,TFYR of Macedonia,France,2014-08-01
201408,23917,United Kingdom,France,2014-08-01
201408,457250,Belgium,France,2014-08-01
201408,157159,France,France,2014-08-01
201408,295911,Germany,France,2014-08-01
201408,147907,Hungary,France,2014-08-01
201408,6354,Italy,France,2014-08-01
201408,944,Lebanon,France,2014-08-01
201408,2175869,Netherlands,France,2014-08-01
201408,63985,Poland,France,2014-08-01
201408,129,Portugal,France,2014-08-01
201408,546438,Spain,France,2014-08-01
201504,540,Netherlands,Iceland,2015-04-01
201504,101,United Kingdom,Iceland,2015-04-01
201504,11641,Bulgaria,Latvia,2015-04-01
201504,9937,Estonia,Latvia,2015-04-01
201504,715,Germany,Latvia,2015-04-01
201504,86160,Lithuania,Latvia,2015-04-01
201504,68187,Netherlands,Latvia,2015-04-01
201504,32805,Poland,Latvia,2015-04-01
201504,115772,Spain,Latvia,2015-04-01
201408,411651,Austria,Germany,2014-08-01
201408,2180668,Belgium,Germany,2014-08-01
201408,1207881,Bosnia Herzegovina,Germany,2014-08-01
201408,333,Sri Lanka,Germany,2014-08-01
201408,105689,France,Germany,2014-08-01
201408,189021,Hungary,Germany,2014-08-01
201408,5899,Italy,Germany,2014-08-01
201408,479,Luxembourg,Germany,2014-08-01
201408,22402652,Netherlands,Germany,2014-08-01
201408,25513,Romania,Germany,2014-08-01
201408,5118417,Spain,Germany,2014-08-01
201408,31572,Turkey,Germany,2014-08-01
201408,1878,Egypt,Germany,2014-08-01
201408,1145948,Bulgaria,Germany,2014-08-01
201408,732,Denmark,Germany,2014-08-01
201408,3382,Jordan,Germany,2014-08-01
201408,307866,Poland,Germany,2014-08-01
201504,4507,France,Sweden,2015-04-01
201504,73964,Germany,Sweden,2015-04-01
201504,60211,Italy,Sweden,2015-04-01
201504,20571,Jordan,Sweden,2015-04-01
