Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201409,September 2014,4,0,1,Imports,533,Aruba,,0,World,,,,,,,,,1006,Rice,0,,,,,,295536,,367615,,,0
HS,2014,201407,July 2014,4,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,1006,Rice,0,,,,,,69282961,,39984851,,,0
HS,2014,201405,May 2014,4,0,2,Exports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,430866757,,,0
HS,2014,201412,December 2014,4,0,4,Re-imports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,382063,,210728,,,0
HS,2014,201412,December 2014,4,0,2,Exports,858,Uruguay,,0,World,,,,,,,,,1006,Rice,0,,,,,,97503524,,55208197,,,0
HS,2014,201407,July 2014,4,0,1,Imports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1436680,,1523558,,,0
HS,2014,201408,August 2014,4,0,1,Imports,533,Aruba,,0,World,,,,,,,,,1006,Rice,0,,,,,,339293,,422118,,,0
HS,2014,201401,January 2014,4,0,1,Imports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,636849,,,0
HS,2014,201408,August 2014,4,0,4,Re-imports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,23000,,11974,,,0
HS,2014,201405,May 2014,4,0,1,Imports,170,Colombia,,0,World,,,,,,,,,1006,Rice,0,,,,,,14957286,,12773570,,,0
HS,2014,201402,February 2014,4,0,1,Imports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,843790,,857624,,,0
HS,2014,201404,April 2014,4,0,1,Imports,882,Samoa,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,341316,,,0
HS,2014,201407,July 2014,4,0,1,Imports,533,Aruba,,0,World,,,,,,,,,1006,Rice,0,,,,,,273001,,317708,,,0
HS,2014,201402,February 2014,4,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,1006,Rice,0,,,,,,5352,,8767,,,0
HS,2014,201412,December 2014,4,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,1006,Rice,0,,,,,,113500,,48050,,,0
HS,2014,201401,January 2014,4,0,2,Exports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,83027980,,35845350,,,0
HS,2014,201412,December 2014,4,0,1,Imports,170,Colombia,,0,World,,,,,,,,,1006,Rice,0,,,,,,16283035,,11194961,,,0
HS,2014,201409,September 2014,4,0,2,Exports,764,Thailand,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,472290312,,,0
HS,2014,201404,April 2014,4,0,2,Exports,84,Belize,,0,World,,,,,,,,,1006,Rice,0,,,,,,102000,,429,,,0
HS,2014,201402,February 2014,4,0,2,Exports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,52018193,,21487425,,,0
HS,2014,201407,July 2014,4,0,1,Imports,858,Uruguay,,0,World,,,,,,,,,1006,Rice,0,,,,,,270,,141,,,0
