Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2013,201312,December 2013,4,0,1,Imports,768,Togo,,0,World,,,,,,,,,1006,Rice,0,,,,,,36621697,,3523289,,,0
HS,2013,201305,May 2013,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1915281,,,0
HS,2013,201309,September 2013,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,31821290,,,0
HS,2013,201304,April 2013,4,0,1,Imports,52,Barbados,,0,World,,,,,,,,,1006,Rice,0,,,,,,451899,,426768,,,0
HS,2013,201312,December 2013,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,52000,,57895,,,0
HS,2013,201302,February 2013,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1721203,,1174044,,,0
HS,2013,201306,June 2013,4,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,111,,,0
HS,2013,201304,April 2013,4,0,2,Exports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,46079270,,24765833,,,0
HS,2013,201312,December 2013,4,0,1,Imports,52,Barbados,,0,World,,,,,,,,,1006,Rice,0,,,,,,461192,,391231,,,0
HS,2013,201302,February 2013,4,0,2,Exports,528,Netherlands,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,15010560,,,0
HS,2013,201305,May 2013,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,562443,,315093,,,0
HS,2013,201311,November 2013,4,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,1006,Rice,0,,,,,,55142957,,30487923,,,0
HS,2013,201309,September 2013,4,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,1006,Rice,0,,,,,,186726,,51185,,,0
HS,2013,201304,April 2013,4,0,1,Imports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,339780,,281042,,,0
HS,2013,201304,April 2013,4,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,1006,Rice,0,,,,,,13120,,10496,,,0
HS,2013,201301,January 2013,4,0,2,Exports,112,Belarus,,0,World,,,,,,,,,1006,Rice,0,,,,,,3968,,3300,,,0
HS,2013,201301,January 2013,4,0,1,Imports,528,Netherlands,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,11498638,,,0
HS,2013,201312,December 2013,4,0,2,Exports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,43416783,,24522005,,,0
HS,2013,201309,September 2013,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,564898,,360747,,,0
HS,2013,201307,July 2013,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,2029358,,,0
HS,2013,201302,February 2013,4,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,1006,Rice,0,,,,,,46696394,,27776151,,,0
HS,2013,201304,April 2013,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1040389,,699671,,,0
HS,2013,201306,June 2013,4,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,1006,Rice,0,,,,,,1079891,,247318,,,0
HS,2013,201306,June 2013,4,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,24000,,20700,,,0
HS,2013,201310,October 2013,4,0,2,Exports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,56700993,,32268944,,,0
HS,2013,201307,July 2013,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,9600,,7499,,,0
HS,2013,201305,May 2013,4,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,1006,Rice,0,,,,,,1429826,,673326,,,0
HS,2013,201312,December 2013,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,912473,,461046,,,0
HS,2013,201312,December 2013,4,0,1,Imports,112,Belarus,,0,World,,,,,,,,,1006,Rice,0,,,,,,3413936,,1909500,,,0
HS,2013,201309,September 2013,4,0,2,Exports,124,Canada,,0,World,,,,,,,,,1006,Rice,0,,,,,,480657,,378949,,,0
HS,2013,201301,January 2013,4,0,2,Exports,8,Albania,,0,World,,,,,,,,,1006,Rice,0,,,,,,12576,,10005,,,0
HS,2013,201302,February 2013,4,0,2,Exports,112,Belarus,,0,World,,,,,,,,,1006,Rice,0,,,,,,11928,,8500,,,0
HS,2013,201308,August 2013,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,90636,,80737,,,0
HS,2013,201311,November 2013,4,0,1,Imports,702,Singapore,,0,World,,,,,,,,,1006,Rice,0,,,,,,34124100,,24071318,,,0
HS,2013,201302,February 2013,4,0,2,Exports,616,Poland,,0,World,,,,,,,,,1006,Rice,0,,,,,,1343225,,1591182,,,0
HS,2013,201307,July 2013,4,0,2,Exports,616,Poland,,0,World,,,,,,,,,1006,Rice,0,,,,,,1653229,,1764380,,,0
HS,2013,201308,August 2013,4,0,1,Imports,703,Slovakia,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,2015090,,,0
HS,2013,201309,September 2013,4,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,1006,Rice,0,,,,,,119662603,,78674107,,,0
HS,2013,201305,May 2013,4,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,1006,Rice,0,,,,,,4947159,,1483736,,,0
HS,2013,201303,March 2013,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1203742,,738097,,,0
HS,2013,201307,July 2013,4,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,1006,Rice,0,,,,,,180423,,190190,,,0
HS,2013,201306,June 2013,4,0,1,Imports,52,Barbados,,0,World,,,,,,,,,1006,Rice,0,,,,,,447879,,459292,,,0
HS,2013,201312,December 2013,4,0,2,Exports,112,Belarus,,0,World,,,,,,,,,1006,Rice,0,,,,,,32033,,30400,,,0
HS,2013,201306,June 2013,4,0,1,Imports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,529940,,387452,,,0
HS,2013,201309,September 2013,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,377168,,268451,,,0
HS,2013,201307,July 2013,4,0,2,Exports,52,Barbados,,0,World,,,,,,,,,1006,Rice,0,,,,,,886,,1501,,,0
HS,2013,201308,August 2013,4,0,1,Imports,579,Norway,,0,World,,,,,,,,,1006,Rice,0,,,,,,1938454,,2853649,,,0
HS,2013,201301,January 2013,4,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,374147,,,0
HS,2013,201303,March 2013,4,0,1,Imports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,939638,,626846,,,0
HS,2013,201305,May 2013,4,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,215576,,,0
HS,2013,201312,December 2013,4,0,1,Imports,579,Norway,,0,World,,,,,,,,,1006,Rice,0,,,,,,1960242,,2794833,,,0
HS,2013,201306,June 2013,4,0,2,Exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,163989014,,,0
HS,2013,201307,July 2013,4,0,3,Re-exports,842,United States of America,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,692323,,,0
HS,2013,201310,October 2013,4,0,1,Imports,208,Denmark,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,4197279,,,0
HS,2013,201305,May 2013,4,0,1,Imports,400,Jordan,,0,World,,,,,,,,,1006,Rice,0,,,,,,10764021,,8552065,,,0
HS,2013,201306,June 2013,4,0,2,Exports,579,Norway,,0,World,,,,,,,,,1006,Rice,0,,,,,,20504,,40587,,,0
HS,2013,201306,June 2013,4,0,1,Imports,97,EU-27,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,93192300,,,0
HS,2013,201305,May 2013,4,0,2,Exports,688,Serbia,,0,World,,,,,,,,,1006,Rice,0,,,,,,36182,,44462,,,0
HS,2013,201311,November 2013,4,0,1,Imports,208,Denmark,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,4876807,,,0
HS,2013,201303,March 2013,4,0,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,254436,,,0
