Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,4,0,1,Imports,752,Sweden,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,5908273,,,0
HS,2011,201101,January 2011,4,0,2,Exports,752,Sweden,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,129899,,,0
HS,2011,201101,January 2011,4,0,1,Imports,156,China,,0,World,,,,,,,,,1006,Rice,0,,,,,,55511709,,45832142,,,0
HS,2011,201101,January 2011,4,0,1,Imports,392,Japan,,0,World,,,,,,,,,1006,Rice,0,,,,,,51417000,,34541012,,,0
HS,2011,201101,January 2011,4,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,1006,Rice,0,,,,,,262356,,274778,,,0
HS,2011,201101,January 2011,4,0,2,Exports,646,Rwanda,,0,World,,,,,,,,,1006,Rice,0,,,,,,4550,,1765,,,0
HS,2011,201101,January 2011,4,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,1006,Rice,0,,,,,,2701061,,956066,,,0
HS,2011,201101,January 2011,4,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,36762,,33850,,,0
HS,2011,201101,January 2011,4,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,36762,,33850,,,0
HS,2011,201101,January 2011,4,0,2,Exports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,5698,,10144,,,0
HS,2011,201101,January 2011,4,0,2,Exports,686,Senegal,,0,World,,,,,,,,,1006,Rice,0,,,,,,24117310,,11035732,,,0
HS,2011,201101,January 2011,4,0,2,Exports,156,China,,0,World,,,,,,,,,1006,Rice,0,,,,,,56058275,,32317823,,,0
HS,2011,201101,January 2011,4,0,2,Exports,392,Japan,,0,World,,,,,,,,,1006,Rice,0,,,,,,5185000,,3528002,,,0
HS,2011,201101,January 2011,4,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,405032,,279666,,,0
HS,2011,201101,January 2011,4,0,1,Imports,686,Senegal,,0,World,,,,,,,,,1006,Rice,0,,,,,,62399479,,27776881,,,0
HS,2011,201101,January 2011,4,0,1,Imports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,564563,,523291,,,0
HS,2011,201101,January 2011,4,0,2,Exports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,44658258,,18742069,,,0
HS,2011,201101,January 2011,4,0,1,Imports,533,Aruba,,0,World,,,,,,,,,1006,Rice,0,,,,,,165083,,186866,,,0
HS,2011,201101,January 2011,4,0,1,Imports,400,Jordan,,0,World,,,,,,,,,1006,Rice,0,,,,,,14313602,,13606947,,,0
HS,2011,201101,January 2011,4,0,1,Imports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,51582719,,24724895,,,0
HS,2011,201101,January 2011,4,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,1006,Rice,0,,,,,,363715,,287213,,,0
HS,2011,201101,January 2011,4,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,2962884,,3314594,,,0
HS,2011,201101,January 2011,4,0,2,Exports,540,New Caledonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,18200,,20721,,,0
HS,2011,201101,January 2011,4,0,1,Imports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,1006,Rice,0,,,,,,81050,,53715,,,0
HS,2011,201102,February 2011,4,0,1,Imports,156,China,,0,World,,,,,,,,,1006,Rice,0,,,,,,21818130,,17151618,,,0
HS,2011,201102,February 2011,4,0,1,Imports,686,Senegal,,0,World,,,,,,,,,1006,Rice,0,,,,,,32159305,,16048856,,,0
HS,2011,201102,February 2011,4,0,2,Exports,686,Senegal,,0,World,,,,,,,,,1006,Rice,0,,,,,,6388616,,2751641,,,0
HS,2011,201102,February 2011,4,0,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,26406,,25914,,,0
HS,2011,201102,February 2011,4,0,1,Imports,400,Jordan,,0,World,,,,,,,,,1006,Rice,0,,,,,,13767615,,15255603,,,0
HS,2011,201102,February 2011,4,0,2,Exports,670,Saint Vincent and the Grenadines,,0,World,,,,,,,,,1006,Rice,0,,,,,,255682,,271405,,,0
HS,2011,201102,February 2011,4,0,2,Exports,392,Japan,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,534907,,,0
HS,2011,201102,February 2011,4,0,1,Imports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,927787,,802397,,,0
HS,2011,201102,February 2011,4,0,1,Imports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,39856379,,16572133,,,0
HS,2011,201102,February 2011,4,0,1,Imports,752,Sweden,,0,World,,,,,,,,,1006,Rice,0,,,,,,4642500,,5328433,,,0
HS,2011,201102,February 2011,4,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,1006,Rice,0,,,,,,1334771,,1769651,,,0
HS,2011,201102,February 2011,4,0,2,Exports,76,Brazil,,0,World,,,,,,,,,1006,Rice,0,,,,,,44314309,,20332483,,,0
HS,2011,201102,February 2011,4,0,2,Exports,752,Sweden,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,141950,,,0
HS,2011,201102,February 2011,4,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,2852827,,3155167,,,0
HS,2011,201102,February 2011,4,0,1,Imports,646,Rwanda,,0,World,,,,,,,,,1006,Rice,0,,,,,,2386793,,846358,,,0
HS,2011,201102,February 2011,4,0,2,Exports,554,New Zealand,,0,World,,,,,,,,,1006,Rice,0,,,,,,26406,,25914,,,0
HS,2011,201102,February 2011,4,0,1,Imports,533,Aruba,,0,World,,,,,,,,,1006,Rice,0,,,,,,402428,,455191,,,0
HS,2011,201102,February 2011,4,0,2,Exports,156,China,,0,World,,,,,,,,,1006,Rice,0,,,,,,16605508,,14379563,,,0
HS,2011,201102,February 2011,4,0,2,Exports,191,Croatia,,0,World,,,,,,,,,1006,Rice,0,,,,,,11052,,16656,,,0
HS,2011,201102,February 2011,4,0,1,Imports,540,New Caledonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,649691,,463917,,,0
HS,2011,201102,February 2011,4,0,2,Exports,400,Jordan,,0,World,,,,,,,,,1006,Rice,0,,,,,,32000,,33114,,,0
HS,2011,201101,January 2011,4,0,2,Exports,579,Norway,,0,World,,,,,,,,,1006,Rice,0,,,,,,35007,,49913,,,0
HS,2011,201101,January 2011,4,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,523538,,,0
HS,2011,201101,January 2011,4,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,769183,,428016,,,0
HS,2011,201101,January 2011,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,5000,,4752,,,0
HS,2011,201101,January 2011,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,193073,,134796,,,0
HS,2011,201101,January 2011,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,6655704,,4226024,,,0
HS,2011,201101,January 2011,4,0,2,Exports,642,Romania,,0,World,,,,,,,,,1006,Rice,0,,,,,,5798932,,2003549,,,0
HS,2011,201101,January 2011,4,0,1,Imports,558,Nicaragua,,0,World,,,,,,,,,1006,Rice,0,,,,,,5260452,,1814494,,,0
HS,2011,201101,January 2011,4,0,1,Imports,579,Norway,,0,World,,,,,,,,,1006,Rice,0,,,,,,2947359,,3940958,,,0
HS,2011,201101,January 2011,4,0,2,Exports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,37348990,,17813993,,,0
HS,2011,201101,January 2011,4,0,1,Imports,642,Romania,,0,World,,,,,,,,,1006,Rice,0,,,,,,2337194,,1452789,,,0
HS,2011,201101,January 2011,4,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,1006,Rice,0,,,,,,1642896,,866214,,,0
HS,2011,201101,January 2011,4,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,1006,Rice,0,,,,,,736397,,629201,,,0
HS,2011,201101,January 2011,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,2654638,,1549916,,,0
HS,2011,201101,January 2011,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1604643,,,0
HS,2011,201101,January 2011,4,0,2,Exports,566,Nigeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,172833,,2552875,,,0
HS,2011,201101,January 2011,4,0,1,Imports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,977720,,569372,,,0
HS,2011,201101,January 2011,4,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,1006,Rice,0,,,,,,109118,,105838,,,0
HS,2011,201101,January 2011,4,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,8470,,2404,,,0
HS,2011,201101,January 2011,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,4520035,,,0
HS,2011,201101,January 2011,4,0,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,1006,Rice,0,,,,,,6001534,,3857143,,,0
HS,2011,201101,January 2011,4,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,1006,Rice,0,,,,,,402355,,118493,,,0
HS,2011,201101,January 2011,4,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,1127874,,3356631,,,0
HS,2011,201101,January 2011,4,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,2077120,,1136352,,,0
HS,2011,201102,February 2011,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,220599,,167867,,,0
HS,2011,201102,February 2011,4,0,1,Imports,268,Georgia,,0,World,,,,,,,,,1006,Rice,0,,,,,,489701,,375155,,,0
HS,2011,201102,February 2011,4,0,1,Imports,566,Nigeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,17513249,,95908988,,,0
HS,2011,201102,February 2011,4,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,1006,Rice,0,,,,,,1,,24,,,0
HS,2011,201102,February 2011,4,0,2,Exports,716,Zimbabwe,,0,World,,,,,,,,,1006,Rice,0,,,,,,34000,,34808,,,0
HS,2011,201102,February 2011,4,0,2,Exports,642,Romania,,0,World,,,,,,,,,1006,Rice,0,,,,,,1418732,,1118037,,,0
HS,2011,201102,February 2011,4,0,2,Exports,558,Nicaragua,,0,World,,,,,,,,,1006,Rice,0,,,,,,346678,,105090,,,0
HS,2011,201102,February 2011,4,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,1006,Rice,0,,,,,,124796,,104823,,,0
HS,2011,201102,February 2011,4,0,1,Imports,804,Ukraine,,0,World,,,,,,,,,1006,Rice,0,,,,,,7546869,,4202344,,,0
HS,2011,201102,February 2011,4,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,1006,Rice,0,,,,,,1,,24,,,0
HS,2011,201102,February 2011,4,0,2,Exports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,49492470,,20114384,,,0
HS,2011,201102,February 2011,4,0,1,Imports,642,Romania,,0,World,,,,,,,,,1006,Rice,0,,,,,,3268854,,2229433,,,0
HS,2011,201102,February 2011,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,5533905,,,0
HS,2011,201102,February 2011,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,1006,Rice,0,,,,,,5635881,,3905012,,,0
HS,2011,201102,February 2011,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1177131,,,0
HS,2011,201102,February 2011,4,0,1,Imports,32,Argentina,,0,World,,,,,,,,,1006,Rice,0,,,,,,239780,,152962,,,0
