node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
India,201509,1,885,885,885,2,15007,7503.5,14854,0.8886232066448527,3,2,1,1.6147813683812671e-4,3,0.08925241600646061,0.00526343627411992,2015-09-01,-1,15892,9
South Africa,201509,4,2812,703,1654,6,138836,23139.3333333333,132952,0.9602959448774426,10,112,11,0.03608693794664754,3,0.8257112300041958,0.016724048364774254,2015-09-01,-2,141648,9
Portugal,201509,1,45,45,45,5,5538,1107.6,2857,0.983879634605051,6,14,12,2.7133941687120444e-4,1,0.0329366215661877,2.676323529213519e-4,2015-09-01,-4,5583,9
United Arab Emirates,201509,2,1229,614.5,1076,0,0,0,0,-1,2,0,0,7.476441691574198e-8,3,0,0.007309336927563143,2015-09-01,2,1229,9
Italy,201509,2,3034,1517,2415,10,324359,32435.9,192079,0.9814657002440492,12,137,40,0.06308207600471247,1,1.9290880524714837,0.01804436797251959,2015-09-01,-8,327393,9
Russian Federation,201509,1,1296,1296,1296,3,18575,6191.66666666667,13107,0.8695586533138745,4,17,2,0.00256393963505854,1,0.11047268790031357,0.0077078117641349335,2015-09-01,-2,19871,9
Indonesia,201509,2,4467,2233.5,4315,0,0,0,0,-1,2,0,1,4.595865727124183e-5,1,0,0.02656697156665953,2015-09-01,2,4467,9
Australia,201509,2,29501,14750.5,26795,5,1349283,269856.6,1042635,0.9572072202752571,7,60,11,0.2856613923918021,2,8.024706312150675,0.1754538231896178,2015-09-01,-3,1378784,9
Japan,201509,2,1323,661.5,775,2,1221626,610813,1209404,0.9978363774777198,4,0,6,0.3272022232437052,2,7.265480905997764,0.007868391175887744,2015-09-01,0,1222949,9
Singapore,201509,1,1487,1487,1487,10,110774,11077.4,67262,0.9735081640106538,11,427,23,0.004156317561419508,1,0.6588156947224407,0.00884376241764556,2015-09-01,-9,112261,9
Croatia,201509,1,88,88,88,8,22985,2873.125,9900,0.9923720365795519,9,28,21,0.0024495900249724553,1,0.13670065848660606,5.233699346017548e-4,2015-09-01,-7,23073,9
Mexico,201509,2,777,388.5,544,4,60021,15005.25,43464,0.9744399486825225,6,62,4,0.011912954564701593,2,0.3569680323264991,0.004621118627108675,2015-09-01,-2,60798,9
