node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Brazil,201511,0,0,0,0,4,3090,772.5,1377,1,2,0,0,7.609992477787031e-5,2,0.011674560145719635,0,2015-11-01,-4,3090,11
Kuwait,201511,0,0,0,0,8,72530,9066.25,28252,1,4,0,1,0.002534453513746385,3,0.274031018566034,0,2015-11-01,-8,72530,11
Belize,201511,0,0,0,0,2,56,28,28,1,1,0,0,1.1232086326267782e-6,2,2.1157778904864062e-4,0,2015-11-01,-2,56,11
Saint Vincent and the Grenadines,201511,0,0,0,0,2,258,129,129,1,1,0,0,5.174782628841828e-6,2,9.747690995455229e-4,0,2015-11-01,-2,258,11
Botswana,201511,0,0,0,0,3,6637,2212.33333333333,3318,1,1,0,0,6.652621191630704e-6,1,0.025075746177068352,0,2015-11-01,-3,6637,11
Singapore,201511,0,0,0,0,15,215575,14371.6666666667,77886,1,6,0,9,0.004163207646964226,2,0.8144800334671554,0,2015-11-01,-15,215575,11
Seychelles,201511,0,0,0,0,6,1170,195,290,1,3,0,1,9.291625497603134e-5,3,0.004420464521194813,0,2015-11-01,-6,1170,11
Argentina,201511,0,0,0,0,4,80938,20234.5,22555,1,2,0,0,0.007935132166578613,3,0.3057979123217656,0,2015-11-01,-4,80938,11
Kazakhstan,201511,0,0,0,0,6,7436,1239.33333333333,2833,1,3,0,1,1.3445050247169082e-4,1,0.028094507845815922,0,2015-11-01,-6,7436,11
"China, Hong Kong SAR",201511,0,0,0,0,5,49136,9827.2,13005,1,2,0,1,0.005036860368551557,1,0.18564439719096437,0,2015-11-01,-5,49136,11
France,201512,71,2136750,30095.0704225352,257636,38,3855417,101458.342105263,886328,0.2868189421289493,46,953,142,0.21839363258281988,1,8.769583187174344,4.860280191531754,2015-12-01,33,5992167,12
Germany,201512,62,5006460,80749.3548387097,775749,34,13228456,389072.235294118,5084941,0.450893001097455,39,429,129,0.9582661713292909,2,30.089623335134846,11.387761023842783,2015-12-01,28,18234916,12
Netherlands,201512,23,143068,6220.34782608696,42833,11,579961,52723.7272727273,199952,0.6042537712871822,17,460,43,0.015694579542756996,2,1.319187064542388,0.32542439051927696,2015-12-01,12,723029,12
Lebanon,201512,6,5318,886.333333333333,2355,0,0,0,0,-1,3,0,0,3.0724614497481775e-6,3,0,0.01209639408380291,2015-12-01,6,5318,12
Denmark,201512,24,34140,1422.5,9691,32,1394985,43593.28125,456972,0.9522225137759118,25,951,54,0.08810530370571,2,3.1730515797280563,0.07765530162110405,2015-12-01,-8,1429125,12
Estonia,201512,6,4410,735,1135,13,151471,11651.6153846154,63575,0.9434183768387424,9,91,12,0.011122167455331611,4,0.3445379669551919,0.01003104511274367,2015-12-01,-7,155881,12
Italy,201512,15,3760,250.666666666667,769,22,729864,33175.6363636364,169138,0.989749517463987,15,67,53,0.03255370904342835,2,1.6601584376797156,0.008552546399980997,2015-12-01,-7,733624,12
Luxembourg,201512,3,3903,1301,1952,18,60349,3352.72222222222,12787,0.8785096183776381,9,0,23,0.00358373751364544,2,0.13727064433309924,0.008877816116788785,2015-12-01,-15,64252,12
Madagascar,201512,66,20082138,304274.818181818,5084941,0,0,0,0,-1,28,0,59,1,2,0,45.67910028080361,2015-12-01,66,20082138,12
Austria,201512,26,139703,5373.19230769231,30933,8,788647,98580.875,357897,0.6990294608714386,14,45,41,0.05961413887203238,2,1.793867037421759,0.3177703164139748,2015-12-01,18,928350,12
Hungary,201512,11,11286,1026,4829,15,53849,3589.93333333333,12688,0.6534582021954403,15,346,42,0.0012319460781436875,2,0.12248565720547253,0.02567128688036849,2015-12-01,-4,65135,12
Slovenia,201512,3,1094,364.666666666667,547,21,9342,444.857142857143,1837,0.790341126868532,9,3,18,4.266080341944292e-4,1,0.021249438422505977,0.00248842706424979,2015-12-01,-18,10436,12
United Kingdom,201512,33,54754,1659.21212121212,6961,33,3228907,97845.6666666667,775749,0.966650637809445,30,535,71,0.17105995136804267,2,7.344515143277511,0.12454418233631902,2015-12-01,0,3283661,12
Greece,201512,8,53256,6657,24310,9,50780,5642.22222222222,21033,-0.023799454035141682,8,85,7,8.841342601765711e-4,5,0.11550486866782847,0.12113681145675212,2015-12-01,-1,104036,12
Nigeria,201512,4,6316,1579,2974,0,0,0,0,-1,2,0,0,2.1270639208595224e-6,6,0,0.014366458261244676,2015-12-01,4,6316,12
Spain,201512,14,507758,36268.4285714286,194615,6,175490,29248.3333333333,48033,-0.4863065826756902,9,9,18,0.009959066242004787,1,0.39917190631187904,1.154953152915306,2015-12-01,8,683248,12
Slovakia,201512,6,2498,416.333333333333,1042,12,28966,2413.83333333333,11338,0.8412153572336639,8,61,19,0.002181048116854607,2,0.06588645186751318,0.005681984283817163,2015-12-01,-6,31464,12
Belgium,201512,11,115795,10526.8181818182,38070,22,3997416,181700.727272727,1844115,0.9436960564386315,14,286,30,0.324315041691758,2,9.092576015964479,0.26338885914515947,2015-12-01,-11,4113211,12
India,201512,22,1175386,53426.6363636364,403774,6,2138638,356439.666666667,375061,0.2906593313747879,13,2,31,0.09414700803521805,5,4.8645746616389784,2.673548750768102,2015-12-01,16,3314024,12
Singapore,201512,4,2226,556.5,783,21,270749,12892.8095238095,89751,0.9836908141771225,12,253,22,0.0013338652724856218,5,0.6158493045873551,0.005063289437861091,2015-12-01,-17,272975,12
United States of America,201512,35,1297439,37069.6857142857,207391,0,0,0,0,-1,15,0,30,0.00865887793339039,5,0,2.95117214059706,2015-12-01,35,1297439,12
Uganda,201512,12,900652,75054.3333333333,375061,0,0,0,0,-1,6,0,7,0.006382024708256432,4,0,2.04863511176481,2015-12-01,12,900652,12
Indonesia,201512,33,4383597,132836.272727273,1024e3,0,0,0,0,-1,15,0,22,0.19531814718365542,6,0,9.97098849503125,2015-12-01,33,4383597,12
Czech Rep.,201512,5,2648,529.6,1294,13,185856,14296.6153846154,43501,0.9719051054619531,7,44,12,0.012035596757772011,5,0.4227505488603373,0.006023176294454702,2015-12-01,-8,188504,12
Viet Nam,201512,2,10116,5058,5058,0,0,0,0,-1,1,0,0,1.1616232004885412e-7,3,0,0.02300998919739568,2015-12-01,2,10116,12
Papua New Guinea,201512,20,1428335,71416.75,195676,0,0,0,0,-1,9,0,19,0.03902020920342218,3,0,3.2489099367598024,2015-12-01,20,1428335,12
