"","period","trade_value_usd","origin","destin","period_date"
"117",201409,17191,"Romania","Slovakia",2014-09-01
"118",201409,69251,"Spain","Slovakia",2014-09-01
"119",201409,44733,"TFYR of Macedonia","Slovakia",2014-09-01
"120",201507,335,"Belgium","Norway",2015-07-01
"121",201507,2252,"Albania","Montenegro",2015-07-01
"122",201507,7966,"Serbia","Montenegro",2015-07-01
"123",201507,33469,"Spain","Norway",2015-07-01
"124",201507,166666,"Germany","Norway",2015-07-01
"125",201507,120761,"Netherlands","Norway",2015-07-01
"126",201507,846,"Poland","Norway",2015-07-01
"127",201507,4595,"Sweden","Norway",2015-07-01
"128",201507,5920,"Turkey","Norway",2015-07-01
"129",201507,296818,"Austria","Switzerland",2015-07-01
"130",201507,503,"Belgium","Switzerland",2015-07-01
"131",201507,153,"Dominican Rep.","Switzerland",2015-07-01
"132",201507,14537,"France","Switzerland",2015-07-01
"133",201507,175620,"Germany","Switzerland",2015-07-01
"134",201507,5968,"Italy","Switzerland",2015-07-01
"135",201507,87439,"Netherlands","Switzerland",2015-07-01
"136",201507,27,"Peru","Switzerland",2015-07-01
"137",201507,21845,"Poland","Switzerland",2015-07-01
"138",201507,198,"Portugal","Switzerland",2015-07-01
"139",201507,27,"India","Switzerland",2015-07-01
"140",201507,8334,"Spain","Switzerland",2015-07-01
"141",201507,1,"Thailand","Switzerland",2015-07-01
"142",201507,13532,"Turkey","Switzerland",2015-07-01
"143",201409,2167,"France","Spain",2014-09-01
"144",201409,41283,"Greece","Spain",2014-09-01
"145",201409,929,"Italy","Spain",2014-09-01
"146",201409,32794,"Netherlands","Spain",2014-09-01
"147",201409,57951,"Portugal","Spain",2014-09-01
"148",201409,271,"Romania","Spain",2014-09-01
"149",201409,4554,"Slovenia","Spain",2014-09-01
"150",201409,23196,"Belgium","Spain",2014-09-01
"151",201409,6476,"Czech Rep.","Spain",2014-09-01
"152",201409,344,"Romania","Rep. of Moldova",2014-09-01
"153",201507,50,"Morocco","Bolivia",2015-07-01
"154",201507,66,"United States of America","Bolivia",2015-07-01
"155",201507,8189,"Dominican Rep.","Canada",2015-07-01
"156",201507,1555,"Jordan","Canada",2015-07-01
"157",201507,365937,"Mexico","Canada",2015-07-01
"158",201507,162,"India","Canada",2015-07-01
"159",201507,8521,"Spain","Canada",2015-07-01
"160",201507,13653,"Canada","Canada",2015-07-01
"161",201507,482183,"United States of America","Canada",2015-07-01
"162",201507,64631,"Austria","Czech Rep.",2015-07-01
"163",201507,15529,"Belgium","Czech Rep.",2015-07-01
"164",201507,314068,"Bulgaria","Czech Rep.",2015-07-01
"165",201507,19194,"France","Czech Rep.",2015-07-01
"166",201507,1115397,"Germany","Czech Rep.",2015-07-01
"167",201507,1006,"Greece","Czech Rep.",2015-07-01
"168",201507,1264616,"Hungary","Czech Rep.",2015-07-01
"169",201507,141,"Italy","Czech Rep.",2015-07-01
"170",201507,723,"Morocco","Czech Rep.",2015-07-01
"171",201507,1084296,"Netherlands","Czech Rep.",2015-07-01
"172",201507,375318,"Poland","Czech Rep.",2015-07-01
"173",201507,163491,"Romania","Czech Rep.",2015-07-01
"174",201507,276197,"Slovakia","Czech Rep.",2015-07-01
"175",201507,626105,"Spain","Czech Rep.",2015-07-01
"176",201507,31211,"Sweden","Czech Rep.",2015-07-01
"177",201507,36845,"Ukraine","Czech Rep.",2015-07-01
"178",201507,69438,"TFYR of Macedonia","Czech Rep.",2015-07-01
"179",201507,713,"United Kingdom","Czech Rep.",2015-07-01
"180",201409,1802166,"Czech Rep.","Germany",2014-09-01
"181",201409,4335,"Denmark","Germany",2014-09-01
"182",201409,1767,"Dominican Rep.","Germany",2014-09-01
"183",201409,21635,"Greece","Germany",2014-09-01
"184",201409,16823,"Hungary","Germany",2014-09-01
"185",201409,14385,"Italy","Germany",2014-09-01
"186",201409,4954,"Jordan","Germany",2014-09-01
"187",201409,658,"Luxembourg","Germany",2014-09-01
"188",201409,24030512,"Netherlands","Germany",2014-09-01
"189",201409,420869,"Poland","Germany",2014-09-01
"190",201409,493966,"Romania","Germany",2014-09-01
"191",201409,194,"Serbia","Germany",2014-09-01
"192",201409,4465913,"Spain","Germany",2014-09-01
"193",201409,988139,"Turkey","Germany",2014-09-01
"194",201409,323,"Ukraine","Germany",2014-09-01
"195",201409,127591,"TFYR of Macedonia","Germany",2014-09-01
"196",201409,916,"Egypt","Germany",2014-09-01
"197",201409,582519,"Austria","Germany",2014-09-01
"198",201409,1833645,"Belgium","Germany",2014-09-01
"199",201409,55771,"Bosnia Herzegovina","Germany",2014-09-01
"200",201409,305676,"Bulgaria","Germany",2014-09-01
"201",201507,121,"Hungary","Denmark",2015-07-01
"202",201507,319,"Romania","Denmark",2015-07-01
"203",201507,17931,"Guatemala","El Salvador",2015-07-01
"204",201507,18031,"Honduras","El Salvador",2015-07-01
"205",201507,3779,"Finland","Estonia",2015-07-01
"206",201507,128,"Italy","Estonia",2015-07-01
"207",201507,2243,"Latvia","Estonia",2015-07-01
"208",201507,896,"Netherlands","Estonia",2015-07-01
"209",201507,40484,"Poland","Estonia",2015-07-01
"210",201507,28231,"Spain","Estonia",2015-07-01
"211",201507,488693,"Germany","Estonia",2015-07-01
"212",201507,49828,"Lithuania","Estonia",2015-07-01
"213",201409,1766,"Belgium","Qatar",2014-09-01
"214",201409,201,"Colombia","Qatar",2014-09-01
"215",201409,2026,"France","Qatar",2014-09-01
"216",201409,104625,"Jordan","Qatar",2014-09-01
"217",201409,1170,"Kenya","Qatar",2014-09-01
"218",201409,615,"Lebanon","Qatar",2014-09-01
"219",201409,18937,"Oman","Qatar",2014-09-01
"220",201409,6482,"Netherlands","Qatar",2014-09-01
"221",201409,237192,"Saudi Arabia","Qatar",2014-09-01
"222",201409,3874,"India","Qatar",2014-09-01
"223",201409,2242,"Spain","Qatar",2014-09-01
"224",201409,218,"Turkey","Qatar",2014-09-01
"225",201409,487,"United Kingdom","Qatar",2014-09-01
"226",201409,626,"Germany","Qatar",2014-09-01
"227",201409,669,"Morocco","Qatar",2014-09-01
"228",201409,1168,"Peru","Qatar",2014-09-01
"229",201409,97,"Swaziland","Qatar",2014-09-01
"230",201507,3159,"United States of America","China, Hong Kong SAR",2015-07-01
"231",201507,303713,"China","China, Hong Kong SAR",2015-07-01
"232",201507,46,"Thailand","China, Hong Kong SAR",2015-07-01
"233",201507,8765,"Australia","China, Hong Kong SAR",2015-07-01
"234",201507,346,"New Zealand","China, Hong Kong SAR",2015-07-01
"235",201507,164,"Netherlands","China, Hong Kong SAR",2015-07-01
"236",201507,4679,"Malaysia","China, Hong Kong SAR",2015-07-01
"237",201507,2484,"Canada","China, Hong Kong SAR",2015-07-01
"238",201507,684,"Rep. of Korea","China, Hong Kong SAR",2015-07-01
"239",201507,50168,"Japan","China, Hong Kong SAR",2015-07-01
"240",201409,10129,"United States of America","Bermuda",2014-09-01
"241",201507,634,"Denmark","Iceland",2015-07-01
"242",201507,655,"Netherlands","Iceland",2015-07-01
"243",201507,437,"Denmark","Ireland",2015-07-01
"244",201507,9850,"France","Ireland",2015-07-01
"245",201507,98004,"Germany","Ireland",2015-07-01
"246",201507,15776,"Lithuania","Ireland",2015-07-01
"247",201507,538144,"Netherlands","Ireland",2015-07-01
"248",201507,1888,"Poland","Ireland",2015-07-01
"249",201507,1788,"India","Ireland",2015-07-01
"250",201507,57946,"Spain","Ireland",2015-07-01
"251",201507,23137,"United Kingdom","Ireland",2015-07-01
"252",201409,10182,"Afghanistan","Pakistan",2014-09-01
"253",201409,585,"Bahamas","Pakistan",2014-09-01
"254",201409,434,"United States of America","Panama",2014-09-01
"255",201409,333,"France","Singapore",2014-09-01
"256",201507,19851,"Estonia","Latvia",2015-07-01
"257",201507,17067,"Finland","Latvia",2015-07-01
"258",201507,44583,"Germany","Latvia",2015-07-01
"259",201507,345968,"Lithuania","Latvia",2015-07-01
"260",201507,20365,"Netherlands","Latvia",2015-07-01
"261",201507,48949,"Poland","Latvia",2015-07-01
"262",201507,190,"Spain","Latvia",2015-07-01
"263",201409,3636,"Australia","Singapore",2014-09-01
"264",201409,2,"Israel","Singapore",2014-09-01
"265",201409,6859,"Japan","Singapore",2014-09-01
"266",201409,763812,"Malaysia","Singapore",2014-09-01
"267",201409,21,"Nepal","Singapore",2014-09-01
"268",201409,1475,"Netherlands","Singapore",2014-09-01
"269",201409,33394,"India","Singapore",2014-09-01
"270",201409,59817,"Thailand","Singapore",2014-09-01
"271",201409,870,"United States of America","Singapore",2014-09-01
"272",201507,4348,"Estonia","Lithuania",2015-07-01
"273",201507,6036,"Latvia","Lithuania",2015-07-01
"274",201507,12370,"Netherlands","Lithuania",2015-07-01
"275",201507,509945,"Poland","Lithuania",2015-07-01
"276",201507,152,"Portugal","Lithuania",2015-07-01
"277",201507,3851,"Ukraine","Lithuania",2015-07-01
"278",201507,160722,"Belgium","Luxembourg",2015-07-01
"279",201507,414,"Brazil","Luxembourg",2015-07-01
"280",201507,14986,"France","Luxembourg",2015-07-01
"281",201507,4987,"Germany","Luxembourg",2015-07-01
"282",201507,407,"Italy","Luxembourg",2015-07-01
"283",201507,368,"Morocco","Luxembourg",2015-07-01
"284",201507,5932,"Netherlands","Luxembourg",2015-07-01
"285",201507,526,"Portugal","Luxembourg",2015-07-01
"286",201507,37642,"Spain","Luxembourg",2015-07-01
"287",201507,12463,"Australia","New Zealand",2015-07-01
"288",201409,3840,"South Africa","Mozambique",2014-09-01
"289",201409,179,"New Zealand","Fiji",2014-09-01
"290",201507,51763,"Brazil","Paraguay",2015-07-01
"291",201409,594,"Australia","Indonesia",2014-09-01
"292",201507,62204,"Denmark","Sweden",2015-07-01
"293",201507,4803,"Finland","Sweden",2015-07-01
"294",201507,6443,"France","Sweden",2015-07-01
