"","period","trade_value_usd","origin","destin","period_date"
"922",201506,23,"Dominica","Antigua and Barbuda",2015-06-01
"923",201506,878,"United States of America","Antigua and Barbuda",2015-06-01
"924",201506,9644,"Peru","Chile",2015-06-01
"925",201508,63711,"Belarus","Poland",2015-08-01
"926",201508,164,"Czech Rep.","Poland",2015-08-01
"927",201508,1415,"France","Poland",2015-08-01
"928",201508,1050100,"Germany","Poland",2015-08-01
"929",201508,814222,"Hungary","Poland",2015-08-01
"930",201508,160,"Italy","Poland",2015-08-01
"931",201508,118352,"Romania","Poland",2015-08-01
"932",201508,7479,"Serbia","Poland",2015-08-01
"933",201508,27,"Spain","Poland",2015-08-01
"934",201508,16104,"Ukraine","Poland",2015-08-01
"935",201506,13249,"Guatemala","El Salvador",2015-06-01
"936",201506,17309,"Honduras","El Salvador",2015-06-01
"937",201508,4522,"Bulgaria","Romania",2015-08-01
"938",201508,7419,"Germany","Romania",2015-08-01
"939",201508,95461,"Hungary","Romania",2015-08-01
"940",201508,869,"Netherlands","Romania",2015-08-01
"941",201508,936,"Poland","Romania",2015-08-01
"942",201508,10248,"TFYR of Macedonia","Romania",2015-08-01
"943",201506,39140,"Germany","Portugal",2015-06-01
"944",201506,54487,"Spain","Portugal",2015-06-01
"945",201506,129258,"Austria","Switzerland",2015-06-01
"946",201506,560,"Dominican Rep.","Switzerland",2015-06-01
"947",201506,57477,"France","Switzerland",2015-06-01
"948",201506,39755,"Germany","Switzerland",2015-06-01
"949",201506,28097,"Italy","Switzerland",2015-06-01
"950",201506,78,"Netherlands","Switzerland",2015-06-01
"951",201506,191,"Portugal","Switzerland",2015-06-01
"952",201506,15914,"Spain","Switzerland",2015-06-01
"953",201506,25446,"Turkey","Switzerland",2015-06-01
"954",201506,108173,"TFYR of Macedonia","Switzerland",2015-06-01
"955",201506,54,"India","Switzerland",2015-06-01
"956",201508,1964,"Italy","Slovakia",2015-08-01
"957",201508,28437,"Austria","Slovakia",2015-08-01
"958",201508,433,"Croatia","Slovakia",2015-08-01
"959",201508,252882,"Netherlands","Slovakia",2015-08-01
"960",201508,34960,"Czech Rep.","Slovakia",2015-08-01
"961",201508,64387,"Germany","Slovakia",2015-08-01
"962",201508,2881,"Greece","Slovakia",2015-08-01
"963",201508,208783,"Hungary","Slovakia",2015-08-01
"964",201508,135988,"Poland","Slovakia",2015-08-01
"965",201508,24198,"Romania","Slovakia",2015-08-01
"966",201508,35030,"Slovakia","Slovakia",2015-08-01
"967",201508,167238,"Spain","Slovakia",2015-08-01
"968",201509,4201,"Belarus","Poland",2015-09-01
"969",201509,106405,"Czech Rep.","Poland",2015-09-01
"970",201509,1438,"France","Poland",2015-09-01
"971",201509,418005,"Germany","Poland",2015-09-01
"972",201509,182143,"Hungary","Poland",2015-09-01
"973",201509,13863,"Netherlands","Poland",2015-09-01
"974",201509,10321,"Romania","Poland",2015-09-01
"975",201509,176367,"Spain","Poland",2015-09-01
"976",201509,62736,"Ukraine","Poland",2015-09-01
"977",201509,41901,"TFYR of Macedonia","Poland",2015-09-01
"978",201509,111,"Bulgaria","Serbia",2015-09-01
"979",201509,286856,"TFYR of Macedonia","Serbia",2015-09-01
"980",201508,4335,"Netherlands","Slovenia",2015-08-01
"981",201508,1924,"Serbia","Slovenia",2015-08-01
"982",201508,45,"India","Slovenia",2015-08-01
"983",201508,45,"Thailand","Slovenia",2015-08-01
"984",201508,42495,"Austria","Slovenia",2015-08-01
"985",201508,135177,"Bosnia Herzegovina","Slovenia",2015-08-01
"986",201508,4980,"Croatia","Slovenia",2015-08-01
"987",201508,85,"France","Slovenia",2015-08-01
"988",201508,134279,"Hungary","Slovenia",2015-08-01
"989",201508,13670,"Italy","Slovenia",2015-08-01
"990",201506,5488,"Rep. of Korea","China, Hong Kong SAR",2015-06-01
"991",201506,41616,"Japan","China, Hong Kong SAR",2015-06-01
"992",201506,194006,"China","China, Hong Kong SAR",2015-06-01
"993",201506,97,"United States of America","China, Hong Kong SAR",2015-06-01
"994",201506,5064,"Malaysia","China, Hong Kong SAR",2015-06-01
"995",201506,6884,"Australia","China, Hong Kong SAR",2015-06-01
"996",201506,57,"Thailand","China, Hong Kong SAR",2015-06-01
"997",201506,156,"Viet Nam","China, Hong Kong SAR",2015-06-01
"998",201506,302,"Netherlands","China, Hong Kong SAR",2015-06-01
"999",201506,686,"New Zealand","China, Hong Kong SAR",2015-06-01
"1000",201506,47,"Denmark","Iceland",2015-06-01
"1001",201506,426,"Netherlands","Iceland",2015-06-01
"1002",201508,6438,"Peru","Chile",2015-08-01
"1003",201508,83181,"Armenia","Russian Federation",2015-08-01
"1004",201508,526202,"Belarus","Russian Federation",2015-08-01
"1005",201508,4035,"China","Russian Federation",2015-08-01
"1006",201508,30017,"Russian Federation","Russian Federation",2015-08-01
"1007",201508,81903,"Serbia","Bosnia Herzegovina",2015-08-01
"1008",201508,130075,"Austria","Switzerland",2015-08-01
"1009",201508,384,"Dominican Rep.","Switzerland",2015-08-01
"1010",201508,70159,"Germany","Switzerland",2015-08-01
"1011",201508,4007,"Italy","Switzerland",2015-08-01
"1012",201508,398,"Netherlands","Switzerland",2015-08-01
"1013",201508,101219,"Poland","Switzerland",2015-08-01
"1014",201508,105,"Portugal","Switzerland",2015-08-01
"1015",201508,36592,"Spain","Switzerland",2015-08-01
"1016",201508,49,"Thailand","Switzerland",2015-08-01
"1017",201508,22654,"Turkey","Switzerland",2015-08-01
"1018",201508,36889,"TFYR of Macedonia","Switzerland",2015-08-01
"1019",201508,82,"Dominica","Antigua and Barbuda",2015-08-01
"1020",201508,566,"United States of America","Antigua and Barbuda",2015-08-01
"1021",201506,1724,"Belgium","Estonia",2015-06-01
"1022",201506,8,"Finland","Estonia",2015-06-01
"1023",201506,48078,"Germany","Estonia",2015-06-01
"1024",201506,11167,"Italy","Estonia",2015-06-01
"1025",201506,6857,"Latvia","Estonia",2015-06-01
"1026",201506,7829,"Lithuania","Estonia",2015-06-01
"1027",201506,41845,"Netherlands","Estonia",2015-06-01
"1028",201506,24191,"Poland","Estonia",2015-06-01
"1029",201506,42,"Spain","Estonia",2015-06-01
"1030",201506,3040,"Sweden","Estonia",2015-06-01
"1031",201508,9961,"South Africa","Mozambique",2015-08-01
"1032",201508,154,"Zambia","Mozambique",2015-08-01
"1033",201508,171,"Belgium","Singapore",2015-08-01
"1034",201508,3790,"Australia","Singapore",2015-08-01
"1035",201508,1,"Canada","Singapore",2015-08-01
"1036",201508,372,"China","Singapore",2015-08-01
"1037",201508,279,"China, Hong Kong SAR","Singapore",2015-08-01
"1038",201508,4,"Indonesia","Singapore",2015-08-01
"1039",201508,4719,"Japan","Singapore",2015-08-01
"1040",201508,134,"Rep. of Korea","Singapore",2015-08-01
"1041",201508,855477,"Malaysia","Singapore",2015-08-01
"1042",201508,9101,"Netherlands","Singapore",2015-08-01
"1043",201508,32712,"India","Singapore",2015-08-01
"1044",201508,68936,"Thailand","Singapore",2015-08-01
"1045",201508,645,"United States of America","Singapore",2015-08-01
"1046",201506,12707,"Romania","France",2015-06-01
"1047",201506,503,"South Africa","France",2015-06-01
"1048",201506,1250723,"Spain","France",2015-06-01
"1049",201506,45677,"Turkey","France",2015-06-01
"1050",201506,82740,"TFYR of Macedonia","France",2015-06-01
"1051",201506,36237,"United Kingdom","France",2015-06-01
"1052",201506,1681,"Austria","France",2015-06-01
"1053",201506,621884,"Belgium","France",2015-06-01
"1054",201506,399,"Dominican Rep.","France",2015-06-01
"1055",201506,173818,"France","France",2015-06-01
"1056",201506,195135,"Germany","France",2015-06-01
"1057",201506,497,"Hungary","France",2015-06-01
"1058",201506,3344,"Italy","France",2015-06-01
"1059",201506,8594,"Jordan","France",2015-06-01
"1060",201506,675,"Lebanon","France",2015-06-01
"1061",201506,33,"Mauritius","France",2015-06-01
"1062",201506,2714739,"Netherlands","France",2015-06-01
"1063",201506,1275,"Portugal","France",2015-06-01
"1064",201508,817,"Viet Nam","Ethiopia",2015-08-01
"1065",201508,3059,"United States of America","Bermuda",2015-08-01
"1066",201508,25416,"Denmark","Greenland",2015-08-01
"1067",201508,351,"Spain","Greenland",2015-08-01
"1068",201508,15465,"Bangladesh","Kuwait",2015-08-01
"1069",201508,83463,"Jordan","Kuwait",2015-08-01
"1070",201508,10222,"Lebanon","Kuwait",2015-08-01
"1071",201508,4704,"Pakistan","Kuwait",2015-08-01
"1072",201508,12566,"Saudi Arabia","Kuwait",2015-08-01
"1073",201508,179863,"India","Kuwait",2015-08-01
"1074",201508,3369,"Egypt","Kuwait",2015-08-01
"1075",201508,3168,"Netherlands","Portugal",2015-08-01
"1076",201508,92947,"Spain","Portugal",2015-08-01
"1077",201508,114,"India","Botswana",2015-08-01
"1078",201508,64111,"South Africa","Botswana",2015-08-01
"1079",201506,2100,"Kenya","Belarus",2015-06-01
"1080",201506,8600,"Russian Federation","Belarus",2015-06-01
"1081",201506,26900,"Turkey","Belarus",2015-06-01
"1082",201506,92600,"Ukraine","Belarus",2015-06-01
"1083",201506,35400,"Morocco","Belarus",2015-06-01
"1084",201506,2500,"Egypt","Belarus",2015-06-01
"1085",201508,1287,"China","Kazakhstan",2015-08-01
"1086",201508,6442,"Russian Federation","Kazakhstan",2015-08-01
"1087",201506,10307,"Austria","Czech Rep.",2015-06-01
"1088",201506,17063,"Belgium","Czech Rep.",2015-06-01
"1089",201506,164191,"Bulgaria","Czech Rep.",2015-06-01
"1090",201506,269,"France","Czech Rep.",2015-06-01
"1091",201506,674833,"Germany","Czech Rep.",2015-06-01
"1092",201506,1018,"Greece","Czech Rep.",2015-06-01
"1093",201506,270370,"Hungary","Czech Rep.",2015-06-01
"1094",201506,360,"Italy","Czech Rep.",2015-06-01
"1095",201506,732,"Morocco","Czech Rep.",2015-06-01
"1096",201506,525786,"Netherlands","Czech Rep.",2015-06-01
"1097",201506,254494,"Poland","Czech Rep.",2015-06-01
"1098",201506,729928,"Romania","Czech Rep.",2015-06-01
"1099",201506,185099,"Slovakia","Czech Rep.",2015-06-01
"1100",201506,1703231,"Spain","Czech Rep.",2015-06-01
"1101",201506,9565,"Sweden","Czech Rep.",2015-06-01
"1102",201506,77375,"TFYR of Macedonia","Czech Rep.",2015-06-01
"1103",201506,1058,"United Kingdom","Czech Rep.",2015-06-01
"1104",201508,121,"Spain","Senegal",2015-08-01
"1105",201506,32,"Slovakia","Denmark",2015-06-01
"1106",201506,184,"Austria","Denmark",2015-06-01
"1107",201506,97,"Estonia","Denmark",2015-06-01
"1108",201506,1,"Finland","Denmark",2015-06-01
"1109",201506,48352,"Germany","Denmark",2015-06-01
"1110",201506,3875,"Greece","Denmark",2015-06-01
"1111",201506,1420,"Jordan","Denmark",2015-06-01
"1112",201506,174,"Lithuania","Denmark",2015-06-01
"1113",201506,1291068,"Netherlands","Denmark",2015-06-01
"1114",201506,3826,"Poland","Denmark",2015-06-01
"1115",201506,1043,"Portugal","Denmark",2015-06-01
"1116",201506,179,"Belgium","Denmark",2015-06-01
"1117",201506,50,"Czech Rep.","Denmark",2015-06-01
"1118",201506,679,"France","Denmark",2015-06-01
"1119",201506,36,"Hungary","Denmark",2015-06-01
"1120",201506,2126,"Italy","Denmark",2015-06-01
"1121",201506,427,"Norway","Denmark",2015-06-01
"1122",201506,368,"Romania","Denmark",2015-06-01
"1123",201506,228607,"Spain","Denmark",2015-06-01
"1124",201506,17952,"Sweden","Denmark",2015-06-01
"1125",201506,4753,"Turkey","Denmark",2015-06-01
"1126",201506,52,"United Kingdom","Denmark",2015-06-01
"1127",201506,1426,"Bulgaria","Greece",2015-06-01
"1128",201506,6,"Netherlands","Greece",2015-06-01
"1129",201506,11442,"TFYR of Macedonia","Greece",2015-06-01
"1130",201402,114,"Dominican Rep.","Iceland",2014-02-01
"1131",201402,337,"Spain","Iceland",2014-02-01
"1132",201506,178,"Austria","Hungary",2015-06-01
"1133",201506,22172,"Germany","Hungary",2015-06-01
"1134",201506,10427,"Italy","Hungary",2015-06-01
"1135",201506,194124,"Romania","Hungary",2015-06-01
"1136",201506,27732,"Spain","Hungary",2015-06-01
"1137",201512,42780,"Germany","Portugal",2015-12-01
"1138",201512,247792,"Spain","Portugal",2015-12-01
"1139",201506,26314,"Estonia","Latvia",2015-06-01
"1140",201506,16676,"Germany","Latvia",2015-06-01
"1141",201506,135276,"Lithuania","Latvia",2015-06-01
"1142",201506,28269,"Netherlands","Latvia",2015-06-01
"1143",201506,30614,"Poland","Latvia",2015-06-01
"1144",201506,3865,"Romania","Latvia",2015-06-01
"1145",201506,332,"Spain","Latvia",2015-06-01
"1146",201506,9346,"Australia","Malaysia",2015-06-01
"1147",201506,7960,"China","Malaysia",2015-06-01
"1148",201506,132,"Germany","Malaysia",2015-06-01
"1149",201506,250,"China, Hong Kong SAR","Malaysia",2015-06-01
"1150",201506,423,"Indonesia","Malaysia",2015-06-01
"1151",201506,871,"Japan","Malaysia",2015-06-01
"1152",201506,150,"Netherlands","Malaysia",2015-06-01
"1153",201506,2939,"India","Malaysia",2015-06-01
"1154",201506,87,"Singapore","Malaysia",2015-06-01
"1155",201506,997,"Viet Nam","Malaysia",2015-06-01
"1156",201506,259362,"Thailand","Malaysia",2015-06-01
"1157",201506,111,"Turkey","Malaysia",2015-06-01
"1158",201506,78,"United States of America","Malaysia",2015-06-01
"1159",201402,33,"Singapore","Malaysia",2014-02-01
"1160",201402,6524,"Viet Nam","Malaysia",2014-02-01
"1161",201402,139631,"Thailand","Malaysia",2014-02-01
"1162",201402,4278,"Australia","Malaysia",2014-02-01
"1163",201402,8484,"China","Malaysia",2014-02-01
"1164",201402,439,"China, Hong Kong SAR","Malaysia",2014-02-01
"1165",201402,225,"Netherlands","Malaysia",2014-02-01
"1166",201402,1970,"India","Malaysia",2014-02-01
"1167",201402,20,"Trinidad and Tobago","Barbados",2014-02-01
"1168",201402,22,"United Kingdom","Barbados",2014-02-01
"1169",201402,13,"United States of America","Barbados",2014-02-01
"1170",201402,4854,"Guatemala","El Salvador",2014-02-01
"1171",201402,80692,"Honduras","El Salvador",2014-02-01
"1172",201402,1171,"Nicaragua","El Salvador",2014-02-01
"1173",201402,432086,"Turkey","Georgia",2014-02-01
"1174",201506,3174,"Netherlands","Slovenia",2015-06-01
"1175",201506,49921,"Australia","New Zealand",2015-06-01
"1176",201506,37,"India","Slovenia",2015-06-01
"1177",201506,4330,"Albania","TFYR of Macedonia",2015-06-01
"1178",201506,158,"France","Azerbaijan",2015-06-01
"1179",201506,92570,"Iran","Azerbaijan",2015-06-01
"1180",201402,14422,"Morocco","Portugal",2014-02-01
"1181",201402,288244,"Spain","Portugal",2014-02-01
"1182",201506,10764,"Belgium","Austria",2015-06-01
"1183",201506,785,"Cyprus","Austria",2015-06-01
"1184",201506,481710,"Germany","Austria",2015-06-01
"1185",201506,9621,"Greece","Austria",2015-06-01
"1186",201506,1099,"Hungary","Austria",2015-06-01
"1187",201506,33045,"Italy","Austria",2015-06-01
"1188",201506,82539,"Netherlands","Austria",2015-06-01
"1189",201506,493,"Poland","Austria",2015-06-01
"1190",201506,553586,"Serbia","Austria",2015-06-01
"1191",201506,143134,"Spain","Austria",2015-06-01
"1192",201506,173207,"Turkey","Austria",2015-06-01
"1193",201506,504080,"TFYR of Macedonia","Austria",2015-06-01
"1194",201402,2181,"Greece","Montenegro",2014-02-01
"1195",201402,43217,"Italy","Montenegro",2014-02-01
"1196",201402,2229,"Spain","Montenegro",2014-02-01
"1197",201402,2055,"Turkey","TFYR of Macedonia",2014-02-01
"1198",201402,56526,"Greece","TFYR of Macedonia",2014-02-01
"1199",201402,51,"Israel","Estonia",2014-02-01
"1200",201402,70820,"Italy","Estonia",2014-02-01
"1201",201402,38937,"Latvia","Estonia",2014-02-01
"1202",201402,15951,"Morocco","Estonia",2014-02-01
"1203",201402,10830,"Netherlands","Estonia",2014-02-01
"1204",201402,64186,"Spain","Estonia",2014-02-01
"1205",201402,8716,"Brazil","Paraguay",2014-02-01
"1206",201402,36073,"Germany","Croatia",2014-02-01
"1207",201402,42338,"Italy","Croatia",2014-02-01
"1208",201402,7145,"Netherlands","Croatia",2014-02-01
"1209",201402,1147,"Slovenia","Croatia",2014-02-01
"1210",201402,104079,"Spain","Croatia",2014-02-01
"1211",201402,142,"Austria","Czech Rep.",2014-02-01
"1212",201402,217,"Bulgaria","Czech Rep.",2014-02-01
"1213",201402,1946,"France","Czech Rep.",2014-02-01
"1214",201402,1765,"Germany","Czech Rep.",2014-02-01
"1215",201402,779251,"Greece","Czech Rep.",2014-02-01
"1216",201402,7636,"Hungary","Czech Rep.",2014-02-01
"1217",201402,12731,"Italy","Czech Rep.",2014-02-01
"1218",201402,20452,"Netherlands","Czech Rep.",2014-02-01
"1219",201402,371537,"Poland","Czech Rep.",2014-02-01
"1220",201402,3033,"Slovakia","Czech Rep.",2014-02-01
"1221",201402,2628352,"Spain","Czech Rep.",2014-02-01
"1222",201402,1901,"United Kingdom","Czech Rep.",2014-02-01
"1223",201402,118961,"Belgium","Luxembourg",2014-02-01
"1224",201402,32551,"France","Luxembourg",2014-02-01
"1225",201402,15626,"Germany","Luxembourg",2014-02-01
"1226",201402,6523,"Netherlands","Luxembourg",2014-02-01
"1227",201402,340,"Portugal","Luxembourg",2014-02-01
"1228",201506,2516,"Greece","Cyprus",2015-06-01
"1229",201506,1275,"United Kingdom","Cyprus",2015-06-01
"1230",201506,142,"Dominican Rep.","Finland",2015-06-01
"1231",201506,48681,"Germany","Finland",2015-06-01
"1232",201506,194833,"Netherlands","Finland",2015-06-01
"1233",201506,41212,"Norway","Finland",2015-06-01
"1234",201506,3618,"Spain","Finland",2015-06-01
"1235",201506,12639,"Turkey","Finland",2015-06-01
"1236",201402,11180,"France","Serbia",2014-02-01
"1237",201402,76277,"Greece","Serbia",2014-02-01
"1238",201402,39427,"Italy","Serbia",2014-02-01
"1239",201402,134940,"Spain","Serbia",2014-02-01
"1240",201402,8314,"Turkey","Serbia",2014-02-01
"1241",201402,53099,"TFYR of Macedonia","Serbia",2014-02-01
"1242",201402,1386,"France","Sweden",2014-02-01
"1243",201402,409040,"Germany","Sweden",2014-02-01
"1244",201402,90214,"Italy","Sweden",2014-02-01
"1245",201402,45107,"Jordan","Sweden",2014-02-01
"1246",201402,1227735,"Netherlands","Sweden",2014-02-01
"1247",201402,6566960,"Spain","Sweden",2014-02-01
"1248",201402,22630,"Turkey","Sweden",2014-02-01
"1249",201402,105,"Netherlands","Ukraine",2014-02-01
"1250",201402,167232,"Spain","Ukraine",2014-02-01
"1251",201402,2115685,"Turkey","Ukraine",2014-02-01
"1252",201506,771,"Italy","Luxembourg",2015-06-01
"1253",201506,110448,"Belgium","Luxembourg",2015-06-01
"1254",201506,14547,"France","Luxembourg",2015-06-01
"1255",201506,4242,"Germany","Luxembourg",2015-06-01
"1256",201506,131,"Morocco","Luxembourg",2015-06-01
"1257",201506,11381,"Netherlands","Luxembourg",2015-06-01
"1258",201506,297,"Portugal","Luxembourg",2015-06-01
"1259",201506,31656,"Spain","Luxembourg",2015-06-01
"1260",201506,7748,"Italy","Malta",2015-06-01
"1261",201506,2747,"Netherlands","Malta",2015-06-01
"1262",201506,31338,"Romania","Rep. of Moldova",2015-06-01
"1263",201506,291261,"Germany","Poland",2015-06-01
"1264",201506,295818,"Hungary","Poland",2015-06-01
"1265",201506,88534,"Netherlands","Poland",2015-06-01
"1266",201506,315248,"Romania","Poland",2015-06-01
"1267",201506,61414,"Spain","Poland",2015-06-01
"1268",201506,15053,"Ukraine","Poland",2015-06-01
"1269",201402,76016,"Greece","Albania",2014-02-01
"1270",201402,4565,"Italy","Albania",2014-02-01
"1271",201402,37739,"Turkey","Albania",2014-02-01
"1272",201402,215651,"Iran","Armenia",2014-02-01
"1273",201402,12221,"Turkey","Armenia",2014-02-01
"1274",201402,1600,"France","Belarus",2014-02-01
"1275",201402,75600,"Greece","Belarus",2014-02-01
"1276",201402,159700,"Morocco","Belarus",2014-02-01
"1277",201402,11700,"Netherlands","Belarus",2014-02-01
"1278",201402,623700,"Spain","Belarus",2014-02-01
"1279",201402,498800,"Turkey","Belarus",2014-02-01
"1280",201402,11710,"Slovakia","Hungary",2014-02-01
"1281",201402,703023,"Spain","Hungary",2014-02-01
"1282",201402,28559,"Czech Rep.","Hungary",2014-02-01
"1283",201402,1042,"Austria","Hungary",2014-02-01
"1284",201402,93,"France","Hungary",2014-02-01
"1285",201402,457350,"Germany","Hungary",2014-02-01
"1286",201402,23735,"Netherlands","Hungary",2014-02-01
"1287",201402,15515,"Italy","Hungary",2014-02-01
"1288",201506,6313,"Bulgaria","Romania",2015-06-01
"1289",201506,12682,"Hungary","Romania",2015-06-01
"1290",201506,11146,"Italy","Romania",2015-06-01
"1291",201506,1133,"Netherlands","Romania",2015-06-01
"1292",201506,5180,"Poland","Romania",2015-06-01
"1293",201506,10148,"Spain","Romania",2015-06-01
"1294",201402,11942,"Israel","Norway",2014-02-01
"1295",201402,1525,"Czech Rep.","Lithuania",2014-02-01
"1296",201402,30464,"Estonia","Lithuania",2014-02-01
"1297",201402,125403,"France","Lithuania",2014-02-01
"1298",201402,13919,"Germany","Lithuania",2014-02-01
"1299",201402,40625,"Greece","Lithuania",2014-02-01
"1300",201402,2482,"Italy","Lithuania",2014-02-01
"1301",201402,103731,"Latvia","Lithuania",2014-02-01
"1302",201402,2430117,"Netherlands","Lithuania",2014-02-01
"1303",201402,131307,"Poland","Lithuania",2014-02-01
"1304",201402,1640621,"Spain","Lithuania",2014-02-01
"1305",201402,59891,"United Kingdom","Lithuania",2014-02-01
"1306",201402,185,"Poland","Norway",2014-02-01
"1307",201506,37129,"Austria","Slovakia",2015-06-01
"1308",201506,13215,"Czech Rep.","Slovakia",2015-06-01
"1309",201506,306838,"Spain","Slovakia",2015-06-01
"1310",201506,23974,"TFYR of Macedonia","Slovakia",2015-06-01
"1311",201506,306695,"Germany","Slovakia",2015-06-01
"1312",201506,26758,"Greece","Slovakia",2015-06-01
"1313",201506,110158,"Hungary","Slovakia",2015-06-01
"1314",201506,9955,"Netherlands","Slovakia",2015-06-01
"1315",201506,45453,"Poland","Slovakia",2015-06-01
"1316",201506,44272,"Romania","Slovakia",2015-06-01
"1317",201506,36345,"Slovakia","Slovakia",2015-06-01
"1318",201402,43256,"Austria","Slovenia",2014-02-01
"1319",201402,259,"Croatia","Slovenia",2014-02-01
"1320",201402,18,"Hungary","Slovenia",2014-02-01
"1321",201402,77312,"Israel","Slovenia",2014-02-01
"1322",201402,66256,"Italy","Slovenia",2014-02-01
"1323",201402,2898,"Morocco","Slovenia",2014-02-01
"1324",201402,387,"Netherlands","Slovenia",2014-02-01
"1325",201402,151740,"Spain","Slovenia",2014-02-01
"1326",201506,128273,"Austria","Slovenia",2015-06-01
"1327",201506,6254,"Bosnia Herzegovina","Slovenia",2015-06-01
"1328",201506,57545,"Croatia","Slovenia",2015-06-01
"1329",201506,63,"France","Slovenia",2015-06-01
"1330",201506,112,"Germany","Slovenia",2015-06-01
"1331",201506,1806,"Hungary","Slovenia",2015-06-01
"1332",201506,49776,"Italy","Slovenia",2015-06-01
"1333",201506,461,"Morocco","Slovenia",2015-06-01
"1334",201506,8408,"Serbia","Slovenia",2015-06-01
"1335",201506,628,"Slovakia","Slovenia",2015-06-01
"1336",201506,9954,"Spain","Slovenia",2015-06-01
"1337",201506,41336,"TFYR of Macedonia","Slovenia",2015-06-01
"1338",201506,3868,"Czech Rep.","Spain",2015-06-01
"1339",201506,7412,"Belgium","Spain",2015-06-01
"1340",201506,16528,"Germany","Spain",2015-06-01
"1341",201506,51703,"Italy","Spain",2015-06-01
"1342",201506,19185,"Netherlands","Spain",2015-06-01
"1343",201506,3028,"Poland","Spain",2015-06-01
"1344",201506,6021,"Portugal","Spain",2015-06-01
"1345",201506,762,"Slovenia","Spain",2015-06-01
"1346",201506,247,"Ecuador","Spain",2015-06-01
"1347",201506,437,"France","Spain",2015-06-01
"1348",201506,19443,"Greece","Spain",2015-06-01
"1349",201402,32997,"France","Belgium",2014-02-01
"1350",201402,970270,"Germany","Belgium",2014-02-01
"1351",201402,1188,"Israel","Belgium",2014-02-01
"1352",201402,150,"Luxembourg","Belgium",2014-02-01
"1353",201402,1694076,"Netherlands","Belgium",2014-02-01
"1354",201402,1814454,"Spain","Belgium",2014-02-01
"1355",201402,17905,"Turkey","Belgium",2014-02-01
"1356",201506,5200,"Belgium","Sweden",2015-06-01
"1357",201506,22612,"Denmark","Sweden",2015-06-01
"1358",201506,3990,"Jordan","Sweden",2015-06-01
"1359",201506,3507,"Poland","Sweden",2015-06-01
"1360",201506,12697,"United Kingdom","Sweden",2015-06-01
"1361",201402,13242,"Italy","Bosnia Herzegovina",2014-02-01
"1362",201402,90765,"Spain","Bosnia Herzegovina",2014-02-01
"1363",201402,2595,"Turkey","Bosnia Herzegovina",2014-02-01
"1364",201506,2660,"Finland","Sweden",2015-06-01
"1365",201506,4837,"France","Sweden",2015-06-01
"1366",201506,47160,"Germany","Sweden",2015-06-01
"1367",201506,695785,"Netherlands","Sweden",2015-06-01
"1368",201506,160947,"Spain","Sweden",2015-06-01
"1369",201506,5200,"Turkey","Sweden",2015-06-01
"1370",201402,108468,"Spain","Bulgaria",2014-02-01
"1371",201506,1562582,"Spain","United Kingdom",2015-06-01
"1372",201506,60092,"Turkey","United Kingdom",2015-06-01
"1373",201506,50947,"France","United Kingdom",2015-06-01
"1374",201506,680,"Belgium","United Kingdom",2015-06-01
"1375",201506,1905,"Denmark","United Kingdom",2015-06-01
"1376",201506,35215,"Germany","United Kingdom",2015-06-01
"1377",201506,11634,"Ireland","United Kingdom",2015-06-01
"1378",201506,4934,"Italy","United Kingdom",2015-06-01
"1379",201506,34212,"Jordan","United Kingdom",2015-06-01
"1380",201506,2526,"Lebanon","United Kingdom",2015-06-01
"1381",201506,26793,"Lithuania","United Kingdom",2015-06-01
"1382",201506,12424698,"Netherlands","United Kingdom",2015-06-01
"1383",201506,92964,"Poland","United Kingdom",2015-06-01
"1384",201402,505328,"Greece","Bulgaria",2014-02-01
"1385",201402,261391,"Turkey","Bulgaria",2014-02-01
"1386",201402,27274,"Greece","Cyprus",2014-02-01
"1387",201402,85331,"Estonia","Latvia",2014-02-01
"1388",201402,45282,"Finland","Latvia",2014-02-01
"1389",201402,20962,"Germany","Latvia",2014-02-01
"1390",201402,77591,"Lithuania","Latvia",2014-02-01
"1391",201402,31168,"Netherlands","Latvia",2014-02-01
"1392",201402,947663,"Spain","Latvia",2014-02-01
"1393",201402,6870,"Estonia","Finland",2014-02-01
"1394",201402,422496,"Germany","Finland",2014-02-01
"1395",201402,3761,"Israel","Finland",2014-02-01
"1396",201402,460957,"Netherlands","Finland",2014-02-01
"1397",201402,1769182,"Spain","Finland",2014-02-01
"1398",201402,7841265,"Spain","France",2014-02-01
"1399",201402,43772,"Turkey","France",2014-02-01
"1400",201402,847,"United Kingdom","France",2014-02-01
"1401",201506,7961,"Greece","Bulgaria",2015-06-01
"1402",201506,20710,"Romania","Bulgaria",2015-06-01
"1403",201506,35545,"TFYR of Macedonia","Bulgaria",2015-06-01
"1404",201402,57808,"Belgium","France",2014-02-01
"1405",201402,64,"Sri Lanka","France",2014-02-01
"1406",201402,169,"Ecuador","France",2014-02-01
"1407",201402,219726,"France","France",2014-02-01
"1408",201402,332460,"Germany","France",2014-02-01
"1409",201402,10,"Hungary","France",2014-02-01
"1410",201402,956,"Israel","France",2014-02-01
"1411",201402,6229,"Italy","France",2014-02-01
"1412",201402,47185,"Jordan","France",2014-02-01
"1413",201402,407,"Lebanon","France",2014-02-01
"1414",201402,5182,"Luxembourg","France",2014-02-01
"1415",201402,188,"Mauritius","France",2014-02-01
"1416",201402,750616,"Morocco","France",2014-02-01
