node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Ecuador,201412,2,12318,6159,6159,12,551810,45984.1666666667,96860,0.9563290600714731,7,0,11,0.0014370101905395462,1,0.09768956434071979,0.00218071447336762,2014-12-01,-10,564128,12
Equatorial Guinea,201412,2,24,12,12,0,0,0,0,-1,1,0,0,7.757935379694115e-8,3,0,4.248834823901842e-6,2014-12-01,2,24,12
Ethiopia,201412,2,44,22,22,2,68080,34040,34040,0.9987082379190887,2,0,1,4.6699288426237513e-4,3,0.01205252811713489,7.789530510486709e-6,2014-12-01,0,68124,12
Grenada,201412,2,40,20,20,0,0,0,0,-1,1,0,0,1.2929892299399984e-7,3,0,7.081391373169736e-6,2014-12-01,2,40,12
Côte d'Ivoire,201412,2,62,31,31,0,0,0,0,-1,1,0,0,2.0041333063916626e-7,3,0,1.097615662841309e-5,2014-12-01,2,62,12
Kenya,201412,4,169540,42385,84342,0,0,0,0,-1,2,0,0,3.135595652525404e-6,3,0,0.030014477335179923,2014-12-01,4,169540,12
Liberia,201412,2,14,7,7,0,0,0,0,-1,1,0,0,4.525462304618602e-8,3,0,2.4784869806094074e-6,2014-12-01,2,14,12
Malaysia,201412,2,18,9,9,0,0,0,0,-1,1,0,0,5.8184515345225174e-8,3,0,3.186626117926381e-6,2014-12-01,2,18,12
Mali,201412,2,10,5,5,0,0,0,0,-1,1,0,0,3.2324730746244795e-8,3,0,1.770347843292434e-6,2014-12-01,2,10,12
Sierra Leone,201412,2,40,20,20,0,0,0,0,-1,1,0,0,1.2929892299219571e-7,3,0,7.081391373169736e-6,2014-12-01,2,40,12
Uganda,201412,4,26548,6637,13251,0,0,0,0,-1,2,0,0,2.066044272967283e-7,5,0,0.004699919454372753,2014-12-01,4,26548,12
Burkina Faso,201412,2,30,15,15,0,0,0,0,-1,1,0,0,9.697419224504886e-8,3,0,5.311043529877302e-6,2014-12-01,2,30,12
Saint-Martin (French part),201412,2,1170,585,585,0,0,0,0,-1,1,0,0,7.58473899587967e-9,3,0,2.0713069766521477e-4,2014-12-01,2,1170,12
Burundi,201412,2,19070,9535,9535,0,0,0,0,-1,1,0,0,4.167068137919339e-8,5,0,0.0033760533371586716,2014-12-01,2,19070,12
Faeroe Isds,201412,2,7528,3764,3764,0,0,0,0,-1,1,0,0,4.207408907591004e-7,1,0,0.0013327178564305443,2014-12-01,2,7528,12
