"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"161","Cyprus","201402",11,1017690,92517.2727272727,268561,48,3956284,82422.5833333333,569722,0.59079400093366,17,537,97,0.00430776342469916,2
"162","Slovakia","201402",27,4101164,151894.962962963,1493307,94,18496377,196769.968085106,2362525,0.637025639205611,29,1486,154,0.0227297466549652,2
"163","Luxembourg","201402",8,141041,17630.125,65471,77,6596929,85674.4025974026,1447849,0.95813546216442,16,1103,70,0.0064516151496035,2
"164","Algeria","201402",2,107464,53732,53732,0,0,0,0,-1,1,0,0,8.02512321828638e-06,9
"165","Sri Lanka","201402",2,43912,21956,21956,0,0,0,0,-1,1,0,0,3.27923035399189e-06,9
"166","Estonia","201402",19,3092377,162756.684210526,1141824,51,5094077,99883.862745098,1159249,0.244513680770698,21,261,88,0.00139122473674203,8
"167","TFYR of Macedonia","201402",2,57446,28723,28723,51,8724928,171077.019607843,1269633,0.986917888033463,19,65,111,0.0163220485104643,2
"168","Norway","201402",9,1327700,147522.222222222,296706,18,322554,17919.6666666667,93454,-0.609085631666398,10,354,34,0.00146642261312851,8
"169","Switzerland","201402",8,760162,95020.25,173860,85,36239148,426342.917647059,5226153,0.958909395877923,19,0,98,0.0675121086052783,2
"170","El Salvador","201402",3,255714,85238,127857,12,1691414,140951.166666667,381805,0.737342383243423,4,1,2,0.00198808345119659,11
"171","Bahrain","201402",2,101900,50950,50950,0,0,0,0,-1,1,0,0,2.48330230164653e-05,14
"172","Swaziland","201402",4,3070,767.5,1510,0,0,0,0,-1,2,0,1,2.86032143132032e-07,3
"173","United Arab Emirates","201402",7,1861519,265931.285714286,930759,0,0,0,0,-1,1,0,0,0.000652879816114679,16
"174","Jordan","201402",4,112030,28007.5,54299,0,0,0,0,-1,2,0,0,0.000311573239560333,16
"175","Oman","201402",4,1662973,415743.25,831486,0,0,0,0,-1,1,0,0,0.000583244923336091,16
"176","Saudi Arabia","201402",9,4121262,457918,1916548,0,0,0,0,-1,3,0,0,0.00182592162461207,7
"177","Lebanon","201402",5,47506,9501.2,22356,0,0,0,0,-1,2,0,0,1.62878412091862e-05,16
"178","Pakistan","201402",2,708,354,354,0,0,0,0,-1,1,0,0,2.48312754157505e-07,16
"179","India","201402",3,6029,2009.66666666667,3014,0,0,0,0,-1,1,0,0,2.11451637686945e-06,16
"180","Syria","201402",2,1926,963,963,0,0,0,0,-1,1,0,0,6.75494865126148e-07,16
"181","Belarus","201402",15,30936914,2062460.93333333,15376830,23,1211000,52652.1739130435,176200,-0.924660741595862,7,0,12,0.0209040426177104,17
"182","Antigua and Barbuda","201402",2,4684,2342,2342,17,3939756,231750.352941176,1684961,0.997625011408464,5,66,4,0.0112570019513086,10
"183","Curaçao","201402",2,2088,1044,1044,0,0,0,0,-1,1,0,0,2.06626310476119e-09,10
"184","Saint-Martin (French part)","201402",2,2458,1229,1229,0,0,0,0,-1,1,0,0,2.43241126039958e-09,10
"185","China, Hong Kong SAR","201402",2,218440,109220,109220,134,264215732,1971759.19402985,51487485,0.99834786859544,42,1009,217,0.679015352622144,7
"186","Malaysia","201402",2,87540,43770,43770,17,20896709,1229218.17647059,7278390,0.991656599194949,8,66,10,0.00773363409295954,7
"187","South Africa","201402",9,1108810,123201.111111111,317125,44,39486287,897415.613636364,7778673,0.945372220689607,18,1,69,0.0977771617511497,15
"188","Georgia","201402",2,74740,37370,37370,27,8361194,309673.851851852,1115029,0.982280563124368,9,61,15,0.011880569487158,3
"189","Namibia","201402",2,44108,22054,22054,0,0,0,0,-1,1,0,0,1.40741346856466e-07,3
"190","Colombia","201402",2,102968,51484,51484,4,5107012,1276753,2553506,0.960472784924318,2,0,1,0.0141691513994464,7
"191","Costa Rica","201402",2,38974,19487,19487,0,0,0,0,-1,1,0,0,0.000111386425144482,7
"192","Ecuador","201402",2,69578,34789,34789,0,0,0,0,-1,1,0,0,0.000198851662357029,7
"193","Iran","201402",2,2769270,1384635,1384635,0,0,0,0,-1,1,0,0,0.00791448364447743,7
"194","Paraguay","201402",2,84220,42110,42110,0,0,0,0,-1,1,0,0,0.000240698022416696,7
"195","Rep. of Korea","201402",2,79254,39627,39627,0,0,0,0,-1,1,0,0,0.000226505355837247,7
"196","Uganda","201402",2,156,78,78,0,0,0,0,-1,1,0,0,4.68969816374765e-13,18
"197","Bolivia","201402",3,403682,134560.666666667,201841,6,184756,30792.6666666667,52213,-0.372045992950829,3,67,2,0.000395718330690292,4
"198","Barbados","201402",0,0,0,0,10,131464,13146.4,47209,1,3,0,1,0.000146938598539293,10
"199","Iceland","201402",0,0,0,0,9,592282,65809.1111111111,169823,1,3,0,3,0.000539454320016668,19
"200","Montenegro","201402",0,0,0,0,29,2223089,76658.2413793103,483853,1,9,0,26,0.00139648733081518,1
