"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"643","Switzerland","201406",14,1036050,74003.5714285714,177539,85,40997479,482323.282352941,8591900,0.950703639468387,23,166,126,0.0377372800479615,4
"644","Saint-Barthélemy","201406",5,40323,8064.6,20161,0,0,0,0,-1,1,0,0,2.17419537421275e-05,3
"645","Albania","201406",2,41148,20574,20574,0,0,0,0,-1,1,0,0,2.21867894893993e-05,3
"646","Malta","201406",1,39444,39444,39444,29,2018967,69619.5517241379,282224,0.96167529225213,12,10,55,0.000910373586345129,4
"647","Bahrain","201406",2,483182,241591,241591,0,0,0,0,-1,1,0,0,8.93424914209426e-05,10
"648","Rep. of Korea","201406",2,55532,27766,27766,0,0,0,0,-1,1,0,0,1.02681127061582e-05,10
"649","United Arab Emirates","201406",8,1958601,244825.125,969159,0,0,0,0,-1,2,0,1,0.000317577234361057,13
"650","El Salvador","201406",5,579192,115838.4,229378,12,2241575,186797.916666667,792720,0.589337226364319,5,0,4,0.00603791266211758,13
"651","India","201406",4,13052,3263,6153,2,62488,31244,31244,0.65443473656341,3,164,1,1.45352341196433e-05,13
"652","Malaysia","201406",5,779454,155890.8,241528,14,20697822,1478415.85714286,5969021,0.927415934869953,8,150,8,0.00591697455318237,15
"653","Kazakhstan","201406",6,2331908,388651.333333333,1165954,20,18063683,903184.15,5927841,0.77133214722731,7,78,9,0.0524933344110123,6
"654","Saudi Arabia","201406",7,5972334,853190.571428571,2784438,0,0,0,0,-1,2,0,0,0.00155712558602978,13
"655","Oman","201406",4,1319425,329856.25,659713,0,0,0,0,-1,1,0,0,0.00021617316330652,13
"656","Lebanon","201406",2,1748,874,874,0,0,0,0,-1,1,0,0,2.86390427237156e-07,13
"657","Pakistan","201406",5,41035,8207,18204,4,61206,15301.5,20461,0.197288758912765,4,95,2,7.44778269411208e-05,13
"658","Syria","201406",2,6592,3296,3296,0,0,0,0,-1,1,0,0,1.08002614207935e-06,13
"659","South Africa","201406",12,1460428,121702.333333333,698920,48,82575656,1720326.16666667,15238883,0.965242835446735,17,2,71,0.0791700803385574,18
"660","Swaziland","201406",2,5600,2800,2800,0,0,0,0,-1,1,0,0,8.80559672421655e-08,18
"661","New Zealand","201406",12,921875,76822.9166666667,165428,0,0,0,0,-1,4,0,0,0.000554336699658837,15
"662","Peru","201406",2,575892,287946,287946,15,5686989,379132.6,1605371,0.816093583767598,5,78,2,0.00974560646276612,8
"663","Algeria","201406",2,141400,70700,70700,0,0,0,0,-1,1,0,0,2.80946070649221e-05,1
"664","China, Hong Kong SAR","201406",2,374018,187009,187009,149,255889809,1717381.26845638,39312165,0.997080992628741,47,1238,271,0.440860302780499,9
"665","Viet Nam","201406",2,1200,600,600,0,0,0,0,-1,1,0,0,2.38426651186029e-07,1
"666","Colombia","201406",2,213968,106984,106984,9,7869907,874434.111111111,3644514,0.947063011241515,4,155,4,0.0267878406274857,8
"667","Costa Rica","201406",2,78780,39390,39390,0,0,0,0,-1,1,0,0,0.000125890652494508,9
"668","Iran","201406",2,1013552,506776,506776,0,0,0,0,-1,1,0,0,0.00161965882986946,9
"669","Mexico","201406",2,316002,158001,158001,19,249692390,13141704.7368421,114867373,0.997472068857593,5,0,8,0.848481325080861,9
"670","Panama","201406",2,16424,8212,8212,9,1228198,136466.444444444,614099,0.973608051279826,2,0,1,0.00447814045836685,5
"671","Antigua and Barbuda","201406",2,9434,4717,4717,11,3471513,315592.090909091,1363689,0.994579635943897,4,75,3,0.0111625451977109,8
"672","Saint-Martin (French part)","201406",3,7906,2635.33333333333,3953,0,0,0,0,-1,1,0,0,5.14006436269998e-09,8
"673","Bolivia","201406",3,463560,154520,231780,2,73806,36903,36903,-0.725304541039068,2,2,0,4.22481693285858e-05,8
"674","Uganda","201406",2,124,62,62,0,0,0,0,-1,1,0,0,3.07087716113585e-14,19
"675","Georgia","201406",0,0,0,0,27,10342350,383050,1510421,1,10,0,19,0.00961385908103348,4
"676","Montenegro","201406",0,0,0,0,40,3271620,81790.5,469106,1,10,0,34,0.00097652318390518,4
"677","Iceland","201406",0,0,0,0,7,731712,104530.285714286,227697,1,3,0,3,0.000253518224594588,3
"678","Barbados","201406",0,0,0,0,9,333163,37018.1111111111,111906,1,3,0,1,0.000893358878101345,8
"679","Togo","201406",0,0,0,0,31,3695537,119210.870967742,540226,1,11,0,35,0.00175685595026722,7
"680","Rep. of Moldova","201406",0,0,0,0,20,4062692,203134.6,1613673,1,7,0,16,0.000903169040495257,5
"681","Mauritius","201406",0,0,0,0,7,39581,5654.42857142857,17704,1,2,0,1,1.26623647000765e-05,20
"682","Azerbaijan","201406",0,0,0,0,15,1156412,77094.1333333333,292950,1,6,0,6,0.00270343542419812,5
"683","Niger","201406",0,0,0,0,29,343695,11851.5517241379,75746,1,10,0,18,0.000134769110086408,17
"684","Qatar","201406",0,0,0,0,58,33610877,579497.879310345,10689037,1,16,0,12,0.0452002207246907,13
"685","Bermuda","201406",0,0,0,0,19,1111830,58517.3684210526,503797,1,4,0,3,0.00382133807315659,5
"686","Mozambique","201406",0,0,0,0,26,3849720,148066.153846154,975260,1,8,0,9,0.00433804698452504,18
"687","New Caledonia","201406",0,0,0,0,17,3472260,204250.588235294,887668,1,6,0,7,0.00822505163324866,3
"688","Fiji","201406",0,0,0,0,5,223553,44710.6,111756,1,2,0,0,4.49374620754138e-07,15
"689","Indonesia","201406",0,0,0,0,2,296398,148199,148199,1,1,0,0,6.35698934958611e-06,15
"690","Benin","201406",0,0,0,0,63,31640806,502235.015873016,2764723,1,19,0,95,0.023057155488804,4
"691","Zambia","201406",0,0,0,0,15,606611,40440.7333333333,90440,1,7,0,14,0.000418900228317389,14
"692","Aruba","201406",0,0,0,0,14,1467850,104846.428571429,410532,1,3,0,1,0.00389856998188684,5
"693","Samoa","201406",0,0,0,0,14,3655689,261120.642857143,1689167,1,4,0,0,0.0122870189995387,15
"694","Montserrat","201406",0,0,0,0,9,66718,7413.11111111111,24689,1,3,0,1,0.000179363980711425,8
"695","Rwanda","201406",0,0,0,0,4,300,75,88,1,2,0,0,6.83266808188156e-08,19
"696","Cabo Verde","201406",0,0,0,0,21,1362304,64871.619047619,181918,1,8,0,14,0.00174130420891194,7
"697","French Polynesia","201406",0,0,0,0,31,8507162,274424.580645161,3458491,1,7,0,7,0.0255518177277722,2
"698","Argentina","201407",54,39768861,736460.388888889,3021633,2,146382,73191,73191,-0.992665358444642,23,6,91,0.045599781653874,1
"699","Belgium","201407",182,101070349,555331.587912088,21890938,91,52794212,580156.175824176,11323424,-0.31375735053116,61,718,405,0.108844197600772,2
"700","Brazil","201407",153,513167237,3354034.22875817,93622352,2,2831246,1415623,1415623,-0.989026146032294,50,0,315,0.648221756522431,2
"701","Chile","201407",29,23639686,815161.586206897,5356975,8,21916807,2739600.875,4460217,-0.0378185168906658,14,1,48,0.0897204693619361,3
"702","Czech Rep.","201407",57,7935521,139219.666666667,1376711,79,46020366,582536.278481013,11815058,0.705851522744868,29,51,148,0.0324640801584487,2
"703","Hungary","201407",254,84383594,332218.874015748,5351670,67,17350748,258966.388059701,1657127,-0.658900865550396,59,882,367,0.0431056055459528,2
"704","Ireland","201407",69,31844533,461514.971014493,12843308,82,65256423,795810.036585366,13715834,0.344094346506743,38,880,231,0.0901024304878881,2
"705","Israel","201407",8,627026,78378.25,147090,0,0,0,0,-1,4,0,6,0.000496567178425684,2
"706","Norway","201407",10,1296513,129651.3,440202,21,404281,19251.4761904762,117483,-0.524597335127005,9,73,14,0.000524336646527573,4
"707","Romania","201407",69,20356608,295023.304347826,2421984,113,37882903,335246.92920354,5351670,0.30093478978558,46,559,283,0.0304280175722254,2
"708","Slovenia","201407",66,13104487,198552.833333333,1860800,76,9039433,118939.907894737,2131788,-0.183574272305897,31,291,169,0.00768521799681616,2
"709","Switzerland","201407",10,935040,93504,233496,81,35184327,434374.407407407,5157709,0.948225006268798,20,46,114,0.0363047890912719,2
"710","Ukraine","201407",34,31400813,923553.323529412,6295757,23,11389798,495208.608695652,1802180,-0.467649667353429,21,0,102,0.0243624976075113,2
"711","United Kingdom","201407",164,75605818,461011.085365854,10705637,130,301770842,2321314.16923077,74107191,0.59930845749708,62,200,392,0.271628773182327,2
"712","Austria","201407",78,14265860,182895.641025641,4440318,73,35730842,489463.589041096,10304750,0.429327958472141,32,92,140,0.0211355435856752,2
"713","France","201407",414,102230521,246933.625603865,6640489,167,214641048,1285275.73652695,21890938,0.354751066353952,78,824,484,0.189497582817531,2
"714","Italy","201407",160,46408127,290050.79375,5145334,113,33740016,298584.212389381,6821708,-0.158058696381774,46,20,297,0.0415683817534695,2
"715","Netherlands","201407",235,380180644,1617789.97446809,74107191,90,90401006,1004455.62222222,13640177,-0.615790347966182,72,346,463,0.318708753828311,2
"716","Poland","201407",252,209857202,832766.674603175,21733395,70,11856680,169381.142857143,2090133,-0.893045217619707,60,159,407,0.117015712435086,2
"717","Spain","201407",109,49677900,455760.550458716,10668515,90,50924555,565828.388888889,7958712,0.0123918944125171,42,295,236,0.0752143649281845,2
"718","Denmark","201407",100,30198762,301987.62,8599791,141,27187278,192817.574468085,5084436,-0.0524776409036065,62,1489,408,0.0259636707922154,2
"719","Greece","201407",43,2801546,65152.2325581395,814709,101,36105317,357478.386138614,5266010,0.855987052978288,28,538,140,0.0183040448129064,2
"720","Lithuania","201407",68,12674141,186384.426470588,1337139,62,13576110,218969.516129032,3357534,0.0343603952586968,33,26,172,0.0133723877072151,2
"721","Thailand","201407",42,56573656,1346991.80952381,20648627,23,3832584,166634.086956522,544972,-0.873106354575289,27,1307,73,0.0879715961858771,5
"722","Germany","201407",278,180533941,649402.665467626,17431022,123,123265058,1002154.94308943,23508470,-0.188509123428679,68,248,457,0.178645480535112,2
"723","Latvia","201407",41,3415991,83316.8536585366,496022,68,8616524,126713.588235294,1572417,0.43220665006443,21,152,105,0.00318561628020203,2
"724","Turkey","201407",29,15220111,524831.413793103,4770655,5,129410,25882,64705,-0.983138236040069,13,0,14,0.0194145373677592,5
"725","United States of America","201407",176,519843410,2953655.73863636,116746169,0,0,0,0,-1,39,0,46,1,6
"726","Canada","201407",28,8807108,314539.571428571,1326642,19,43847160,2307745.26315789,31169967,0.665474107436077,17,0,50,0.147323559295248,1
"727","Bahrain","201407",2,84268,42134,42134,0,0,0,0,-1,1,0,0,1.86933282037189e-05,6
"728","Portugal","201407",50,4940023,98800.46,995550,90,32829252,364769.466666667,10668515,0.738410493714799,26,164,122,0.0140755673971823,2
"729","Bulgaria","201407",56,27999725,499995.089285714,5725639,76,25817380,339702.368421053,5860681,-0.0405511407571998,36,671,197,0.0233908497531161,2
"730","China","201407",38,52271862,1375575.31578947,21214826,0,0,0,0,-1,13,0,21,0.0807146037605564,5
"731","Slovakia","201407",38,5268744,138651.157894737,1374788,85,16762954,197211.223529412,2217350,0.521712398200084,30,633,136,0.00943103164076986,2
"732","Croatia","201407",37,3142012,84919.2432432432,386280,56,13270360,236970.714285714,2306696,0.617116648343091,19,60,96,0.00413127802255108,2
"733","Belarus","201407",14,46466746,3319053.28571429,23180373,41,16264000,396682.926829268,2752100,-0.481466392891295,14,8,62,0.055842186763227,2
"734","Finland","201407",28,4906992,175249.714285714,1205018,57,6026028,105719.789473684,669124,0.102353786968285,25,577,110,0.00692355468321612,2
"735","Kazakhstan","201407",7,2431972,347424.571428571,1215986,27,29039644,1075542.37037037,9925673,0.845449817384655,10,69,23,0.0803649758746555,7
"736","Sweden","201407",30,5739701,191323.366666667,2141711,55,16595722,301740.4,8599791,0.486045014683626,26,1145,156,0.0062935749685273,2
"737","Philippines","201407",3,2952549,984183,1476275,31,27173358,876559.935483871,5461472,0.803986050942798,13,70,33,0.062423706747568,6
"738","Guinea","201407",2,1260,630,630,0,0,0,0,-1,1,0,0,6.3024708627539e-08,8
"739","Russian Federation","201407",30,11429386,380979.533333333,2809190,89,171196890,1923560.56179775,28356344,0.874833060714659,30,137,193,0.296874257433148,1
"740","Cyprus","201407",13,1335100,102700,464477,44,5105612,116036.636363636,911206,0.585418506525366,17,59,90,0.00309579761302571,9
"741","Estonia","201407",26,4135003,159038.576923077,1572417,67,6668470,99529.4029850746,1165380,0.234504867092277,24,1649,140,0.00154642453486086,2
"742","Luxembourg","201407",18,113461,6303.38888888889,23316,85,7922587,93206.9058823529,1876810,0.971761990470938,18,1229,67,0.00415005034726236,10
"743","Bosnia Herzegovina","201407",10,1117725,111772.5,317786,26,3564032,137078.153846154,501330,0.522519003015321,13,3,38,0.000675716097998394,11
"744","Serbia","201407",9,1914082,212675.777777778,501330,30,2377474,79249.1333333333,270009,0.107977619306377,11,0,38,0.000878058202748149,11
"745","New Zealand","201407",18,753307,41850.3888888889,140410,3,8109,2703,4054,-0.978700211185475,6,3,1,0.000344532098641037,12
"746","Honduras","201407",4,338888,84722,137755,0,0,0,0,-1,2,0,1,1.41375071146418e-05,13
"747","Guatemala","201407",7,926335,132333.571428571,305719,15,11305936,753729.066666667,5519282,0.84854243337153,6,135,5,0.0398331936709913,13
"748","Viet Nam","201407",4,116318,29079.5,57657,0,0,0,0,-1,2,0,0,4.84670971969841e-05,14
"749","Australia","201407",18,2993034,166279.666666667,806324,0,0,0,0,-1,7,0,5,0.00251324437787228,3
"750","Japan","201407",9,1195312,132812.444444444,590108,45,255985751,5688572.24444444,93622352,0.990704509997301,15,246,46,0.502117808655939,1
"751","Singapore","201407",5,1751106,350221.2,811014,37,52058425,1406984.45945946,19693307,0.934914652945033,17,73,59,0.11821407213977,14
"752","Bangladesh","201407",2,3426,1713,1713,0,0,0,0,-1,1,0,0,1.14820901228887e-07,15
"753","Uruguay","201407",6,267826,44637.6666666667,69677,6,81464,13577.3333333333,28766,-0.53354519167454,5,65,5,0.000501031788814623,13
"754","TFYR of Macedonia","201407",2,199880,99940,99940,56,12398759,221406.410714286,2450477,0.968269588484915,21,0,129,0.0155460995056259,2
"755","El Salvador","201407",4,376664,94166,99848,10,2246228,224622.8,679640,0.712787259254289,5,0,4,0.00527661515653174,13
"756","Malaysia","201407",4,339486,84871.5,120240,10,13827372,1382737.2,3611223,0.952073211999443,7,68,6,0.0050049496233181,5
"757","Egypt","201407",5,20060,4012,9948,0,0,0,0,-1,2,0,0,5.48567351182337e-06,16
"758","Tunisia","201407",3,27785,9261.66666666667,13892,0,0,0,0,-1,1,0,0,4.45406435455067e-08,4
"759","Barbados","201407",2,17226,8613,8613,7,629173,89881.8571428571,314586,0.946701650219137,2,0,1,0.00223669991228068,17
"760","Oman","201407",5,196428,39285.6,98214,0,0,0,0,-1,1,0,0,5.4158618645914e-05,16
"761","Saudi Arabia","201407",8,5736198,717024.75,2799699,0,0,0,0,-1,2,0,0,0.00180001808092628,16
"762","United Arab Emirates","201407",6,1040907,173484.5,520453,0,0,0,0,-1,1,0,0,0.000286996178033985,16
"763","Pakistan","201407",6,324878,54146.3333333333,90535,2,13900,6950,6950,-0.917940362125049,4,2,5,0.000372452139807839,13
"764","India","201407",4,145270,36317.5,72635,0,0,0,0,-1,1,0,0,4.00534675845188e-05,16
"765","Syria","201407",4,135016,33754,62216,0,0,0,0,-1,2,0,1,4.18181341869852e-05,16
"766","Mexico","201407",4,360430,90107.5,168329,22,265878224,12085373.8181818,116746169,0.997292429220289,6,0,11,0.874901586113915,16
"767","South Africa","201407",9,1402131,155792.333333333,470720,50,47392760,947855.2,10784082,0.942529598026974,19,1,84,0.0704651714109835,12
"768","Benin","201407",2,8256,4128,4128,72,48414705,672426.458333333,4388614,0.999659004743638,22,6,101,0.0427754327199185,6
"769","Ghana","201407",4,351706,87926.5,175853,0,0,0,0,-1,1,0,0,1.71821710793837e-06,18
"770","Peru","201407",4,771576,192894,237093,13,5571065,428543.461538462,1607200,0.756701979506644,6,79,2,0.0119449545177693,19
"771","Algeria","201407",2,84956,42478,42478,0,0,0,0,-1,1,0,0,2.6558951083776e-05,5
"772","China, Hong Kong SAR","201407",2,91866,45933,45933,138,272512731,1974729.93478261,43193791,0.999326012833158,46,1050,263,0.526941006504436,13
"773","Jordan","201407",2,242952,121476,121476,0,0,0,0,-1,1,0,0,0.000454942873106421,13
"774","Panama","201407",2,39834,19917,19917,9,2209268,245474.222222222,1104634,0.964577862631397,2,0,1,0.00792555217578244,13
"775","Colombia","201407",2,367556,183778,183778,9,9364805,1040533.88888889,4445309,0.924467249005663,3,142,2,0.032302529232068,19
"776","Costa Rica","201407",2,80074,40037,40037,0,0,0,0,-1,1,0,0,0.000149943592236837,13
"777","Iran","201407",2,233726,116863,116863,0,0,0,0,-1,1,0,0,0.000437666608876121,13
"778","American Samoa","201407",2,196,98,98,0,0,0,0,-1,1,0,0,4.00681959375809e-09,3
"779","Antigua and Barbuda","201407",2,10044,5022,5022,18,4170874,231715.222222222,1695728,0.995195313565107,6,69,5,0.013732298403495,17
"780","Curaçao","201407",2,5996,2998,2998,0,0,0,0,-1,1,0,0,8.96372397590759e-09,17
"781","Saint-Martin (French part)","201407",2,724,362,362,0,0,0,0,-1,1,0,0,1.08234425782018e-09,17
"782","Bolivia","201407",3,390100,130033.333333333,195050,0,0,0,0,-1,1,0,0,1.65590280396834e-05,19
"783","Uganda","201407",2,628,314,314,0,0,0,0,-1,1,0,0,4.6613214460876e-13,20
"784","Togo","201407",2,64190,32095,32095,34,2223633,65400.9705882353,385328,0.943885519115771,14,62,55,0.00137475045091748,21
"785","Georgia","201407",0,0,0,0,26,9913256,381279.076923077,1273373,1,9,0,14,0.0125610905540026,5
"786","Montenegro","201407",0,0,0,0,34,3309802,97347.1176470588,455711,1,9,0,29,0.0012320343714302,11
"787","Iceland","201407",0,0,0,0,9,1211328,134592,303108,1,4,0,6,0.000449398612011532,22
"788","Rep. of Moldova","201407",0,0,0,0,30,5556216,185207.2,2240588,1,10,0,33,0.00202706215554834,23
"789","Armenia","201407",0,0,0,0,23,7009880,304777.391304348,1376009,1,9,0,15,0.0165642427567626,1
"790","Malta","201407",0,0,0,0,27,2895217,107230.259259259,524609,1,10,0,45,0.00158940569093424,2
"791","Azerbaijan","201407",0,0,0,0,20,975827,48791.35,201031,1,6,0,6,0.00237558774567379,5
"792","Ethiopia","201407",0,0,0,0,2,164,82,82,1,1,0,0,3.19704357878446e-12,16
"793","Niger","201407",0,0,0,0,37,583910,15781.3513513514,178516,1,12,0,39,0.000451098824850802,4
"794","Qatar","201407",0,0,0,0,65,39799860,612305.538461538,12253535,1,21,0,39,0.0775871489324857,16
"795","Bermuda","201407",0,0,0,0,17,1356691,79805.3529411765,626461,1,3,0,1,0.00467589134033656,6
"796","Mozambique","201407",0,0,0,0,20,4329540,216477,1385120,1,7,0,10,0.0081594302834792,12
"797","Mauritius","201407",0,0,0,0,13,351203,27015.6153846154,108093,1,4,0,2,0.00011693157177331,3
"798","New Caledonia","201407",0,0,0,0,17,3200658,188274,771594,1,5,0,3,0.00693324512930314,6
"799","Fiji","201407",0,0,0,0,4,173256,43314,86628,1,1,0,0,2.12125248394988e-07,12
"800","Indonesia","201407",0,0,0,0,2,99006,49503,49503,1,1,0,0,1.76090374042622e-06,5
"801","Belize","201407",0,0,0,0,4,5996,1499,2998,1,1,0,0,2.13076725944605e-05,6
"802","Zambia","201407",0,0,0,0,12,702973,58581.0833333333,230345,1,5,0,7,0.000634744144444185,24
"803","Aruba","201407",0,0,0,0,17,2014021,118471.823529412,690160,1,3,0,1,0.00540715672950054,6
"804","Ecuador","201407",0,0,0,0,2,297390,148695,148695,1,1,0,0,1.26236589303289e-05,19
"805","Samoa","201407",0,0,0,0,14,1796221,128301.5,809287,1,4,0,0,0.00575266820942684,3
"806","Guyana","201407",0,0,0,0,2,3076,1538,1538,1,1,0,0,1.09310208306484e-05,6
"807","Montserrat","201407",0,0,0,0,10,135006,13500.6,59121,1,4,0,1,0.00042068057568469,17
"808","Rwanda","201407",0,0,0,0,4,1168,292,314,1,2,0,0,2.08868733193089e-07,20
"809","Cabo Verde","201407",0,0,0,0,21,1648162,78483.9047619048,254277,1,8,0,17,0.00309875332275079,25
"810","French Polynesia","201407",0,0,0,0,34,5369780,157934.705882353,1989605,1,7,0,7,0.0145673043603444,1
"811","Brazil","201408",144,496555460,3448301.80555556,83924924,2,1582550,791275,791275,-0.993646138346279,49,1,300,0.558708866762228,1
"812","Argentina","201408",52,35902575,690434.134615385,4724509,2,184124,92062,92062,-0.989795464528357,22,0,73,0.0286523135051853,2
"813","Bolivia","201408",3,375568,125189.333333333,187784,5,286616,57323.2,127037,-0.134331243279813,3,2,2,0.000174057369808475,2
"814","United States of America","201408",176,527250416,2995741,108718472,0,0,0,0,-1,38,0,43,1,3
"815","Belgium","201408",166,93395615,562624.186746988,21060829,94,42957337,456992.946808511,9635764,-0.369909688497246,58,1295,352,0.0679856143385685,4
"816","France","201408",406,94530811,232834.509852217,6631136,169,192233388,1137475.66863905,21060829,0.340707024589217,81,432,499,0.126601140597775,4
"817","Hungary","201408",263,79284420,301461.673003802,4924199,61,15955442,261564.62295082,1639928,-0.664941933662189,59,1767,340,0.027015054994322,4
"818","Netherlands","201408",240,342652529,1427718.87083333,70208097,93,89214855,959299.516129032,11118168,-0.586841431859554,73,222,443,0.214825667417976,4
"819","Poland","201408",243,172831033,711238.818930041,19843156,77,11444496,148629.818181818,2189005,-0.87578930244178,59,5,386,0.0747894465866784,4
"820","Spain","201408",94,42740596,454687.191489362,8380255,98,35955435,366892.193877551,4424627,-0.0862198628543287,41,1984,213,0.0408789282212482,4
"821","Italy","201408",163,41697084,255810.331288344,3446700,110,27288026,248072.963636364,6113465,-0.208872001508731,50,126,306,0.0230412207549053,4
"822","Denmark","201408",103,31156879,302493.970873786,10444960,146,32498336,222591.342465753,4901171,0.0210737957604888,64,2138,362,0.0205235507564954,4
"823","Latvia","201408",33,2822326,85525.0303030303,404721,64,6803794,106309.28125,1048809,0.413610883720544,19,78,85,0.00159739518217123,4
"824","Germany","201408",276,153838950,557387.5,14274823,128,101973588,796668.65625,15338128,-0.202747536948326,65,70,425,0.094834464719511,4
"825","China","201408",47,57961149,1233215.93617021,22064219,0,0,0,0,-1,16,0,30,0.0910123285353745,2
"826","China, Hong Kong SAR","201408",4,619082,154770.5,262350,137,281469312,2054520.52554745,45391664,0.995610723353617,46,1381,257,0.553217079757091,5
"827","Singapore","201408",4,1704870,426217.5,826273,35,50307013,1437343.22857143,19782843,0.934443057945047,14,5,47,0.103162019142296,4
"828","Thailand","201408",54,56009323,1037209.68518519,21080823,25,3744823,149792.92,461702,-0.874658973454327,34,1834,131,0.0768331073789253,4
"829","Romania","201408",67,21893836,326773.671641791,2156581,96,33758063,351646.489583333,4924199,0.213186382013667,41,8,234,0.0202155878177348,4
"830","United Kingdom","201408",145,69356512,478320.772413793,12346089,128,282582260,2207673.90625,70208097,0.605860351186314,57,214,346,0.187011616593985,4
"831","Canada","201408",31,8418752,271572.64516129,1200626,25,91813668,3672546.72,41635203,0.832015389830955,18,279,50,0.32653476018666,4
"832","Armenia","201408",3,23138,7712.66666666667,11569,25,5817137,232685.48,1125902,0.992076400511962,11,73,23,0.0127401045369893,6
"833","Israel","201408",14,1750389,125027.785714286,389267,0,0,0,0,-1,6,0,12,0.000924369968790729,7
"834","Turkey","201408",31,15913535,513339.838709677,4116892,4,123232,30808,58250,-0.984631316274658,13,142,13,0.0177927017487066,6
"835","Ukraine","201408",38,41516315,1092534.60526316,7749273,29,6222551,214570.724137931,1107645,-0.739308805533839,22,0,111,0.0200323482534208,4
"836","Bulgaria","201408",47,18476768,393122.723404255,4048661,68,23514167,345796.573529412,4113925,0.119963963650726,31,0,166,0.0113054263937039,4
"837","Croatia","201408",39,3118809,79969.4615384615,391104,57,11108870,194892.456140351,1482672,0.561585695038523,18,128,83,0.00256345715364136,4
"838","Greece","201408",29,1851778,63854.4137931034,689050,91,30804628,338512.395604396,4220950,0.886590214489617,21,0,100,0.00969511077406141,4
"839","Slovenia","201408",65,9313129,143278.907692308,1381295,75,8425457,112339.426666667,1935004,-0.0500418691771712,29,79,123,0.00417175468115735,4
"840","Philippines","201408",3,3658518,1219506,1829259,44,32434272,737142.545454545,7392173,0.79727153262466,16,70,46,0.0791821166255684,2
"841","Guinea","201408",2,482,241,241,0,0,0,0,-1,1,0,0,1.60878995300618e-08,1
"842","Portugal","201408",60,4118855,68647.5833333333,506594,86,30076210,349723.372093023,8380255,0.759096524600845,27,480,104,0.0090527535309488,1
"843","Honduras","201408",6,312548,52091.3333333333,131399,0,0,0,0,-1,3,0,1,1.24475926236114e-05,8
"844","Guatemala","201408",6,412303,68717.1666666667,178939,12,13439040,1119920,6495960,0.940467433374511,5,141,3,0.0480283417791064,8
"845","Serbia","201408",8,1588858,198607.25,438698,28,2255998,80571.3571428571,487545,0.173514950885027,12,0,46,0.000631887414760066,4
"846","Bosnia Herzegovina","201408",8,946270,118283.75,364478,19,2367678,124614.631578947,355731,0.428916808592048,9,0,18,0.000186048666904182,4
"847","Austria","201408",77,17035951,221246.116883117,4270934,76,28896107,380211.934210526,9334463,0.258210855694731,29,46,128,0.0118540420667359,4
"848","Chile","201408",35,27018095,771945.571428571,5540617,9,28430498,3158944.22222222,5863290,0.0254722964746824,16,2,69,0.0970896339695346,4
"849","Ireland","201408",55,28021895,509489,11681366,83,65226315,785859.21686747,12877861,0.398982672160677,32,572,151,0.0625689816319788,4
"850","Lithuania","201408",69,10176346,147483.275362319,1099306,56,8499222,151771.821428571,2952305,-0.0898031053192063,29,65,140,0.00552600531541735,4
"851","Malta","201408",2,93190,46595,46595,28,2594902,92675.0714285714,385778,0.930664575468399,12,0,51,0.000984496466361097,4
"852","Slovakia","201408",47,5087606,108246.936170213,1257699,87,14034417,161315.137931034,1797014,0.467879941363945,31,1988,128,0.00880341956256467,4
"853","Cyprus","201408",15,1892975,126198.333333333,510289,49,5492303,112087.816326531,1484999,0.48736526912054,19,136,90,0.00335387835577504,4
"854","Czech Rep.","201408",55,7458432,135607.854545455,1114429,77,41909028,544273.090909091,11294061,0.697840156248671,29,576,150,0.0258758701846242,4
"855","Estonia","201408",25,3076726,123069.04,1048809,59,5874738,99571.8305084746,1099306,0.312575909370802,22,347,91,0.00093919929182258,4
"856","Finland","201408",30,3046289,101542.966666667,527877,63,6063372,96244,899485,0.331195968763272,24,629,97,0.00453475660567153,4
"857","Luxembourg","201408",13,51476,3959.69230769231,14843,76,6616072,87053.5789473684,1739208,0.984559241268304,15,1485,56,0.00230199501324403,4
"858","Norway","201408",6,443684,73947.3333333333,185436,17,231257,13603.3529411765,78980,-0.31473417676508,8,0,16,0.000164339354839869,4
"859","Sweden","201408",24,4936850,205702.083333333,2199595,52,17991175,345984.134615385,10444960,0.569361076673634,25,1354,148,0.00425150683795322,4
"860","Antigua and Barbuda","201408",4,101254,25313.5,46437,11,2518986,228998.727272727,1110550,0.922713949867188,5,71,4,0.00876253095477833,1
"861","Lesotho","201408",2,6,3,3,0,0,0,0,-1,1,0,0,1.40409590814735e-09,7
"862","Nauru","201408",2,24478,12239,12239,0,0,0,0,-1,1,0,0,5.72824328111274e-06,7
"863","Kuwait","201408",2,116500,58250,58250,0,0,0,0,-1,1,0,0,7.64257017240769e-06,6
"864","Russian Federation","201408",27,7019879,259995.518518519,1841792,66,122444434,1855218.6969697,26835915,0.891554995545375,26,328,142,0.140290980177773,4
"865","TFYR of Macedonia","201408",4,86872,21718,35950,49,10290816,210016.653061224,1889816,0.983257927970083,19,199,102,0.0104562015840482,4
"866","India","201408",4,5244,1311,1808,2,60592,30296,30296,0.840695060453247,3,0,2,1.82795091359874e-05,9
"867","Uruguay","201408",4,139400,34850,69677,0,0,0,0,-1,2,0,1,0.000284242432426607,5
