partner,United Kingdom,netweight_kg,Australia,Austria,Belgium,Canada,China,Comoros,Denmark,France,Czech Rep.,French Polynesia,Germany,Greece,Bulgaria,Guinea,Haiti,India,Indonesia,Ireland,Italy,Jamaica,Lebanon,Lithuania,Luxembourg,Madagascar,Japan,Malta,Mauritius,Mexico,Malaysia,Morocco,Netherlands,Costa Rica,New Zealand,Panama,Papua New Guinea,Peru,Poland,Norway,Portugal,Rep. of Korea,Rep. of Moldova,Romania,Hungary,Singapore,South Africa,Spain,Ecuador,Sri Lanka,Sweden,Estonia,Finland,Switzerland,Thailand,Tonga,Turkey,Uganda,United Rep. of Tanzania,United States of America,Viet Nam
Madagascar,4255120.0,45217.0,3847941.0,,30349184.0,54421031.0,18083.0,,633509.0,227349448.0,,,,,,,,11900851.0,663800.0,,223742.0,,,,,,32331456.0,,46194484.0,,,,26678767.0,,492096.0,,,,2359137.0,3186101.0,117472.0,,,,,2268995.0,862417.0,136931.0,,,,1115752.0,399627.0,11274797.0,31110.0,,152294.0,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53999.0,,,,,80525.0,,,,,,,,,,,123121.0,,,,,,,,,,,,,,,
Malta,68.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,271608.0,1533.0,,,,796585.0,,,1979720.0,563517.0,,,,,,,,227722.0,,,59283.0,,,,,392400.0,63232.0,,,,,,1200390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,54036.0,384.0,,,,62906.0,,,,167945.0,,,,,,,,,,,,,,,,,44759.0,,,,,,,,,,,,,,,,,,,,,18855.0,,,,,,35549.0,,,,,,,
Morocco,,,,,,,,,,138877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,1520166.0,59020.0,,177817.0,1535177.0,,,,78289.0,604119.0,,,,,,,,,,,149383.0,,,,,26085.0,,,,,,,,,,,,,,,170666.0,,,,21648.0,,,,,,144741.0,,27351.0,,,,,,,,
New Zealand,6799.0,82.0,490631.0,,,,,,28190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74299.0,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26859.0,,,,,,,,,,,,,,,,,,,,,,
Panama,,,35412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,880279.0,7918.0,5808147.0,,,747160.0,,,,5131342.0,,,,,,,,,,,,,,,,,302871.0,,,,,,288889.0,,510121.0,,,,161146.0,,,,,,,52601.0,,33268.0,,,,,,49209.0,,,75566.0,,,,
Peru,,,,,,,,,,83578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35829.0,,,,,,,,,,
Poland,19108.0,5541.0,,59149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,193.0,13.0,,,,,,,,669562.0,,,,,,,,,,,300343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29167.0,,,,,,,,,,,,,
Rep. of Korea,,,,,,,,,,20255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep. of Moldova,6500.0,104.0,,,,,,,,160548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,19615.0,,,,,,18451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,2114924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,18499.0,129.0,,,,,,,,24279.0,,,,,,,,,,,,,,,,,,,,,,,144266.0,,,,,,,36912.0,,,,,,,,,,,2758660.0,,,42011.0,,,,,,,
Spain,2562115.0,86276.0,,,,,,,,28719.0,,,,,,,,,,,178320.0,,,,,,,,,,,,18387.0,,,,,,26014.0,,101083.0,,,19722.0,,,,,,,,,,,,,,,,,
Sri Lanka,6968.0,69.0,,21716.0,,,,,,50740.0,,,,,,,,,,,64252.0,,,,,,22409.0,,,,,,,,,,,,,,,,,,,,,,,,18907.0,,,,,,,,,,
