,partner,period,trade_value_usd,reporter
23,World,201401,367020,United Kingdom
24,Australia,201401,6642,United Kingdom
25,Sri Lanka,201401,1858,United Kingdom
26,France,201401,79063,United Kingdom
27,Germany,201401,443,United Kingdom
28,Indonesia,201401,32233,United Kingdom
29,Ireland,201401,4367,United Kingdom
30,Lithuania,201401,652,United Kingdom
31,Netherlands,201401,38493,United Kingdom
32,Poland,201401,471,United Kingdom
33,India,201401,72578,United Kingdom
34,South Africa,201401,6235,United Kingdom
35,Spain,201401,31316,United Kingdom
36,Sweden,201401,11316,United Kingdom
37,Turkey,201401,23037,United Kingdom
38,Uganda,201401,53327,United Kingdom
39,USA,201401,4987,United Kingdom
66,World,201402,526078,United Kingdom
67,Belgium,201402,643,United Kingdom
68,France,201402,76862,United Kingdom
69,Germany,201402,189161,United Kingdom
70,Ireland,201402,4770,United Kingdom
71,Jamaica,201402,3310,United Kingdom
72,Lithuania,201402,820,United Kingdom
73,Madagascar,201402,5740,United Kingdom
74,Netherlands,201402,18104,United Kingdom
75,Poland,201402,227,United Kingdom
76,Spain,201402,32183,United Kingdom
77,Turkey,201402,6023,United Kingdom
78,Uganda,201402,21106,United Kingdom
79,USA,201402,167130,United Kingdom
100,World,201403,535666,United Kingdom
101,Australia,201403,3351,United Kingdom
102,Belgium,201403,765,United Kingdom
103,China,201403,2934,United Kingdom
104,France,201403,278688,United Kingdom
105,Germany,201403,28737,United Kingdom
106,Ireland,201403,8274,United Kingdom
107,Italy,201403,186,United Kingdom
108,Jamaica,201403,21898,United Kingdom
109,Lithuania,201403,826,United Kingdom
110,Madagascar,201403,17372,United Kingdom
111,Netherlands,201403,68926,United Kingdom
112,Poland,201403,846,United Kingdom
113,Spain,201403,49470,United Kingdom
114,Turkey,201403,4129,United Kingdom
115,Uganda,201403,37239,United Kingdom
116,USA,201403,12024,United Kingdom
137,World,201404,478434,United Kingdom
138,Australia,201404,6749,United Kingdom
139,Belgium,201404,5637,United Kingdom
140,France,201404,155161,United Kingdom
141,Germany,201404,68247,United Kingdom
142,Indonesia,201404,4782,United Kingdom
143,Italy,201404,271,United Kingdom
144,Jamaica,201404,15540,United Kingdom
145,Lithuania,201404,767,United Kingdom
146,Madagascar,201404,115695,United Kingdom
147,Netherlands,201404,53825,United Kingdom
148,Poland,201404,164,United Kingdom
149,Spain,201404,5604,United Kingdom
150,Turkey,201404,13263,United Kingdom
151,Uganda,201404,26433,United Kingdom
152,USA,201404,6295,United Kingdom
177,World,201405,593294,United Kingdom
178,Australia,201405,10191,United Kingdom
179,Belgium,201405,1623,United Kingdom
180,France,201405,146098,United Kingdom
181,Germany,201405,86508,United Kingdom
182,Italy,201405,509,United Kingdom
183,Jamaica,201405,29556,United Kingdom
184,Lithuania,201405,841,United Kingdom
185,Madagascar,201405,2568,United Kingdom
186,Mauritius,201405,20657,United Kingdom
187,Netherlands,201405,54735,United Kingdom
188,New Zealand,201405,2130,United Kingdom
189,Poland,201405,345,United Kingdom
190,India,201405,1436,United Kingdom
191,Spain,201405,119355,United Kingdom
192,Turkey,201405,12992,United Kingdom
193,Uganda,201405,84993,United Kingdom
194,USA,201405,18758,United Kingdom
215,World,201406,490455,United Kingdom
216,Belgium,201406,1060,United Kingdom
217,France,201406,136812,United Kingdom
218,Germany,201406,16265,United Kingdom
219,Indonesia,201406,4757,United Kingdom
220,Jamaica,201406,10465,United Kingdom
221,Lithuania,201406,761,United Kingdom
222,Madagascar,201406,171754,United Kingdom
223,Netherlands,201406,18532,United Kingdom
