period,partner,United Kingdom,France,Belgium,China,Czechia,Chile,Georgia,Azerbaijan,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Argentina,Austria,Canada,Croatia,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,New Zealand,Poland,Portugal,Rep. of Moldova,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Denmark,Finland,Morocco,Norway,Turkey,USA
201409,Poland,1665.0,,,,,,,,,79759.0,,,,67692.0,,,,,10226.0,,,,,,,,,,4469.0,,,,,,,,,,,
201409,World,182326.0,220273.0,41257.0,,,,662970.0,,,79759.0,66440.0,2180.0,13916.0,1693647.0,,2025.0,530311.0,,94827.0,5484.0,10242.0,,5767.0,18797.0,,117855.0,,,8749.0,,150679.0,,654248.0,26943.0,62684.0,6921.0,,15335.0,,79133.0
201410,France,374.0,,31112.0,,,,,,,19516.0,,,,1090389.0,,,,,,,,,,71729.0,,,,,,,55888.0,,377972.0,,281506.0,,,38456.0,,
201410,Italy,193005.0,166545.0,53949.0,,,,,,,,,,,,,2661.0,,,,,,,,180058.0,,,5451.0,,,,,,9125.0,279687.0,9405.0,,,342593.0,,
201410,Lithuania,3114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410,Netherlands,80.0,,30263.0,,,,,,,,43076.0,,,,,,,,,,,,,,,,,,,,,,,66816.0,39132.0,,,,,
201410,Poland,1237.0,,,,,,,,,272926.0,,,,1288241.0,,,,,46628.0,,,,,,,,,,,,,,,,,,,,,
201410,World,197811.0,248891.0,273775.0,,74939.0,,335160.0,,,292442.0,62072.0,,8550.0,2959280.0,,4664.0,7133726.0,,116847.0,5422.0,,,,251787.0,,2176.0,26625.0,,,,72547.0,,464744.0,403931.0,499772.0,4425.0,,419961.0,,304037.0
201411,France,7060.0,,27538.0,,,,,,,,,,,602822.0,,,,,,,,,,14966.0,,,64735.0,,,,21417.0,,347757.0,,255031.0,,,,,
201411,Ireland,1541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411,Italy,209724.0,407592.0,33200.0,,,,,,,,,59848.0,,,,,24150.0,,,,,,9279.0,273935.0,,,,,,,,,35159.0,443212.0,6034.0,,,536708.0,,
201411,Lithuania,3304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
